#lam[Angstrom] flux[erg/cm2/s/A]
1010.0 8.7458148390854535e-47
1020.0 5.542931851273939e-46
1030.0 3.217381866621766e-41
1040.0 1.3134308885108343e-44
1050.0 7.452755430976156e-47
1060.0 3.3321947389622956e-48
1070.0 6.125077420657472e-44
1080.0 5.476580360426652e-38
1090.0 9.716240167938452e-46
1100.0 4.410961181769454e-43
1110.0 2.2536845641726618e-36
1120.0 6.905148463191855e-37
1130.0 3.269876711362182e-34
1140.0 5.72531895079199e-34
1150.0 4.2876078693126385e-35
1160.0 6.3736203696188046e-34
1170.0 1.106138139452581e-33
1180.0 1.774577678892479e-33
1190.0 2.883784441742767e-32
1200.0 1.1184152225401985e-32
1210.0 5.701745252615799e-32
1220.0 2.613437185981214e-32
1230.0 1.3163763148269343e-31
1240.0 5.2197227859004335e-31
1250.0 6.971709284855429e-31
1260.0 1.2562955515746805e-30
1270.0 1.6684418859001928e-30
1280.0 2.1241950929642495e-30
1290.0 6.011939907879191e-30
1300.0 1.2569179792529172e-29
1310.0 2.1991454109089603e-29
1320.0 1.2165174636378639e-28
1330.0 2.8634736545122116e-28
1340.0 3.7650126117518464e-28
1350.0 6.72942662834496e-28
1360.0 1.03187648657801e-27
1370.0 1.3961378295197632e-27
1380.0 2.0295136890751368e-27
1390.0 2.8382651744498644e-27
1400.0 2.0271612378647447e-27
1410.0 4.489055532276341e-27
1420.0 8.130211543649886e-27
1430.0 1.111277244592784e-26
1440.0 1.3589132535039275e-26
1450.0 1.528971602449994e-26
1460.0 1.192694591111003e-26
1470.0 3.2918228484274386e-26
1480.0 4.824718799168349e-26
1490.0 6.253682738307329e-26
1500.0 8.834963867450811e-26
1510.0 1.164969912597717e-25
1520.0 1.52890747034017e-25
1530.0 1.822380723297066e-25
1540.0 2.187763942531798e-25
1550.0 2.6284172005254595e-25
1560.0 3.308525486500886e-25
1570.0 2.4041612815556136e-25
1580.0 1.060389450643758e-26
1590.0 2.963905711108482e-27
1600.0 7.82191576265649e-26
1610.0 2.9005816900312906e-25
1620.0 4.563861424907115e-27
1630.0 2.578491435464642e-27
1640.0 9.328330607361965e-27
1650.0 9.463245456925755e-25
1660.0 9.407253712521874e-25
1670.0 7.053733771594556e-25
1680.0 1.6073999759473528e-25
1690.0 1.474420370970515e-25
1700.0 4.137201099258591e-26
1710.0 1.1371647173378941e-26
1720.0 1.6171454516133362e-25
1730.0 8.7120766838195e-25
1740.0 4.875971336107747e-24
1750.0 1.3847390716331904e-23
1760.0 4.996188403381092e-23
1770.0 6.918730432910014e-23
1780.0 8.393407692207228e-23
1790.0 1.4588598060000029e-22
1800.0 2.2080451500000337e-22
1810.0 1.8258931000269742e-22
1820.0 3.034400512488216e-22
1830.0 2.475433257365508e-22
1840.0 7.663935426885831e-23
1850.0 1.0536968251279731e-22
1860.0 5.079104903654928e-22
1870.0 8.358474191488291e-22
1880.0 1.2194715549401466e-21
1890.0 1.4089069611893809e-21
1900.0 2.2385787335101865e-21
1910.0 2.6630852857250555e-21
1920.0 3.390713894454594e-21
1930.0 2.076779179257152e-21
1940.0 3.311035966347756e-21
1950.0 4.912030022020885e-21
1960.0 6.684328409571004e-22
1970.0 4.281381389364313e-21
1980.0 8.294316072498835e-21
1990.0 9.85769296440278e-21
2000.0 1.1833764896148777e-20
2010.0 1.6752854244847092e-20
2020.0 1.7199348181954012e-20
2030.0 2.3012970563527665e-20
2040.0 2.1047110026397635e-20
2050.0 4.109595118350476e-20
2060.0 4.9250454899730077e-20
2070.0 1.0590662908225219e-20
2080.0 7.430264431868749e-20
2090.0 5.876889898556035e-20
2100.0 8.379845267755116e-20
2110.0 8.918304948414336e-20
2120.0 1.1436876262341799e-19
2130.0 3.6589250175084286e-20
2140.0 3.704390694714307e-21
2150.0 1.910491888000776e-19
2160.0 3.809823164355236e-19
2170.0 2.0228310565527206e-19
2180.0 2.6500574835769706e-19
2190.0 8.690072165850183e-19
2200.0 8.675373276931731e-19
2210.0 8.713329136791029e-19
2220.0 1.8912575571482387e-18
2230.0 1.252994641742398e-18
2240.0 2.6062859414133398e-18
2250.0 2.775271688043629e-18
2260.0 3.561552019042389e-18
2270.0 4.187945482070382e-18
2280.0 4.201427105198152e-18
2290.0 3.143192785382587e-18
2300.0 3.2060652074666594e-18
2310.0 1.3688173389295252e-18
2320.0 3.698802086630727e-18
2330.0 1.0462849643822177e-17
2340.0 1.0473572018243836e-17
2350.0 1.0942543162430647e-17
2360.0 1.3270422229512055e-17
2370.0 1.1751737363202769e-17
2380.0 1.3547133636933774e-17
2390.0 1.0154101781673563e-17
2400.0 4.876196696915655e-18
2410.0 1.2165718810839024e-23
2420.0 3.1723300763662183e-19
2430.0 1.7408677114206421e-19
2440.0 4.348350667747543e-17
2450.0 1.305195891860252e-16
2460.0 1.9486882887586e-16
2470.0 2.289483655753407e-16
2480.0 3.993756206165779e-16
2490.0 4.912196623724743e-16
2500.0 3.128619753878098e-16
2510.0 3.2361946869444385e-16
2520.0 2.2103010310019894e-17
2530.0 6.06717968766951e-17
2540.0 4.93669684223857e-16
2550.0 1.2559545602424978e-15
2560.0 1.596045362037177e-15
2570.0 1.2323929103392813e-15
2580.0 2.6562122415001143e-15
2590.0 2.46265979958156e-15
2600.0 4.289980884999856e-15
2610.0 4.896245459090921e-15
2620.0 5.55598841388484e-15
2630.0 4.737525730310393e-15
2640.0 7.855771245236121e-15
2650.0 5.177107524171937e-15
2660.0 8.607534826628978e-15
2670.0 1.2562563858323579e-14
2680.0 1.2919241190922531e-14
2690.0 1.520454163076948e-14
2700.0 2.277381795949899e-14
2710.0 1.9000942323089626e-14
2720.0 2.7701752563918636e-14
2730.0 3.768497499999876e-14
2740.0 4.3827375117999847e-14
2750.0 4.657085216661644e-14
2760.0 5.339539793861786e-14
2770.0 6.895973158450214e-14
2780.0 8.322159260000046e-14
2790.0 9.703516089999863e-14
2800.0 1.1262461449999742e-13
2810.0 1.2589640726742248e-13
2820.0 1.4222048934999987e-13
2830.0 1.5028920831091777e-13
2840.0 2.000657734999955e-13
2850.0 1.566352932989733e-13
2860.0 9.19158844854795e-09
2870.0 7.400952539880087e-08
2880.0 3.409847191929213e-07
2890.0 1.3333043012360815e-06
2900.0 4.24474782500001e-06
2910.0 5.836736363703514e-06
2920.0 9.544702517662536e-06
2930.0 6.287159824193458e-06
2940.0 1.3870018817194825e-06
2950.0 4.951342586667993e-06
2960.0 2.071087959500003e-05
2970.0 1.0665356791112112e-05
2980.0 1.1053213975499734e-05
2990.0 4.0226505979360643e-07
3000.0 6.343109074652939e-06
3010.0 4.0395221833423925e-06
3020.0 2.5878634612952403e-06
3030.0 7.405896327512056e-06
3040.0 1.4507009110547442e-07
3050.0 9.142653543922025e-08
3060.0 3.429834884633795e-07
3070.0 7.613130301327932e-07
3080.0 4.234120986986792e-08
3090.0 1.2270618498186633e-06
3100.0 1.5773296839344537e-05
3110.0 0.0001225237495299009
3120.0 7.34350390746323e-05
3130.0 3.8056389880015116e-05
3140.0 8.814347461772598e-06
3150.0 4.210718660175428e-05
3160.0 6.588680476828405e-05
3170.0 0.0002196230200256469
3180.0 0.000743090081480004
3190.0 0.0001947084399199262
3200.0 0.00017705707141762512
3210.0 0.00023423073564162768
3220.0 2.1943745765912783e-05
3230.0 5.398110224999864e-05
3240.0 1.1580002446390542e-05
3250.0 4.597533158322444e-06
3260.0 2.8020059399999702e-05
3270.0 4.955796869450177e-06
3280.0 9.593808457627129e-07
3290.0 1.558987043188888e-07
3300.0 5.413784547608539e-10
3310.0 1.4131479542499711e-08
3320.0 1.3718804324999768e-06
3330.0 1.1333605779838816e-05
3340.0 0.00011143182544999956
3350.0 0.00023986098634299865
3360.0 0.0004139753408989029
3370.0 0.00020895258936139304
3380.0 0.0004198560553907224
3390.0 0.00011894307732694086
3400.0 4.837426220682105e-05
3410.0 1.419524152707128e-07
3420.0 2.5669158859301257e-05
3430.0 1.4499141552238014e-05
3440.0 8.542632776673621e-06
3450.0 1.4517057614285014e-07
3460.0 9.272464027907005e-07
3470.0 1.1122107705766694e-07
3480.0 3.121286288257212e-05
3490.0 9.428129910453694e-05
3500.0 7.991276251401209e-06
3510.0 4.992105669267865e-07
3520.0 3.7878788257964546e-07
3530.0 1.6438788599078022e-07
3540.0 0.0003199380642800026
3550.0 0.00045343458016718844
3560.0 0.0010199441994987628
3570.0 0.0001305732557973026
3580.0 6.358470143602807e-05
3590.0 0.00013535805572756417
3600.0 5.5614305019183684e-05
3610.0 0.0008930850725157538
3620.0 0.004177004780000007
3630.0 0.0015658148850830602
3640.0 0.01845984410999951
3650.0 0.0031586526624596597
3660.0 0.019830794322274886
3670.0 0.02349474236934797
3680.0 0.017168329515669142
3690.0 0.03509707634298436
3700.0 0.043598508075000174
3710.0 0.02158879502589987
