t m teff logg logL logt Lum 
0.00200 0.001 549 2.71 -5.67 6.30103 0.00000213796 
0.00200 0.001 814 3.07 -5.04 6.30103 0.00000912011 
0.00200 0.002 1125 3.34 -4.45 6.30103 0.0000354813 
0.00200 0.003 1352 3.47 -4.09 6.30103 0.0000812831 
0.00200 0.004 1551 3.56 -3.81 6.30103 0.000154882 
0.00200 0.005 1716 3.61 -3.59 6.30103 0.00025704 
0.00200 0.006 1849 3.65 -3.42 6.30103 0.000380189 
0.00200 0.007 1954 3.67 -3.28 6.30103 0.000524807 
0.00200 0.008 2047 3.69 -3.16 6.30103 0.000691831 
0.00200 0.009 2119 3.7 -3.06 6.30103 0.000870964 
0.00200 0.010 2172 3.71 -2.98 6.30103 0.00104713 
0.00200 0.012 2264 3.73 -2.84 6.30103 0.00144544 
0.00200 0.015 2368 3.73 -2.68 6.30103 0.0020893 
0.00200 0.020 2477 3.74 -2.48 6.30103 0.00331131 
0.00200 0.030 2609 3.75 -2.23 6.30103 0.00588844 
0.00200 0.040 2747 3.7 -1.96 6.30103 0.0109648 
0.00200 0.050 2790 3.61 -1.74 6.30103 0.018197 
0.00200 0.060 2828 3.6 -1.63 6.30103 0.0234423 
0.00200 0.070 2858 3.57 -1.52 6.30103 0.0301995 
0.00200 0.072 2864 3.57 -1.5 6.30103 0.0316228 
0.00200 0.075 2865 3.51 -1.42 6.30103 0.0380189 
0.00200 0.080 2884 3.55 -1.42 6.30103 0.0380189 
0.00200 0.090 2904 3.53 -1.34 6.30103 0.0457088 
0.00200 0.100 2884 3.45 -1.22 6.30103 0.060256 
0.00200 0.110 3014 3.59 -1.25 6.30103 0.0562341 
0.00200 0.130 3045 3.63 -1.19 6.30103 0.0645654 
0.00200 0.150 3080 3.65 -1.13 6.30103 0.074131 
0.00200 0.175 3122 3.66 -1.05 6.30103 0.0891251 
0.00200 0.200 3162 3.67 -0.99 6.30103 0.102329 
0.00200 0.250 3245 3.68 -0.85 6.30103 0.141254 
0.00200 0.300 3313 3.69 -0.75 6.30103 0.177828 
0.00200 0.350 3369 3.69 -0.66 6.30103 0.218776 
0.00200 0.400 3416 3.7 -0.58 6.30103 0.263027 
0.00200 0.450 3460 3.7 -0.51 6.30103 0.30903 
0.00200 0.500 3497 3.71 -0.45 6.30103 0.354813 
0.00200 0.570 3552 3.71 -0.37 6.30103 0.42658 
0.00200 0.600 3574 3.71 -0.34 6.30103 0.457088 
0.00200 0.620 3588 3.71 -0.32 6.30103 0.47863 
0.00200 0.700 3645 3.72 -0.24 6.30103 0.57544 
0.00200 0.750 3679 3.73 -0.2 6.30103 0.630957 
0.00200 0.800 3711 3.73 -0.17 6.30103 0.676083 
0.00200 0.850 3745 3.74 -0.13 6.30103 0.74131 
0.00200 0.900 3780 3.76 -0.11 6.30103 0.776247 
0.00200 0.950 3808 3.74 -0.06 6.30103 0.870964 
0.00200 1.000 3842 3.75 -0.03 6.30103 0.933254 
0.00200 1.050 3873 3.75 0.01 6.30103 1.02329 
0.00200 1.100 3910 3.75 0.04 6.30103 1.09648 
0.00200 1.150 3998 3.76 0.09 6.30103 1.23027 
0.00200 1.200 4048 3.77 0.12 6.30103 1.31826 
0.00200 1.300 4136 3.78 0.18 6.30103 1.51356 
0.00200 1.400 4211 3.79 0.24 6.30103 1.7378 
