t m teff logg logL logt Lum 
0.00700 0.001 421 2.82 -6.24 6.8451 0.00000057544 
0.00700 0.001 592 3.16 -5.69 6.8451 0.00000204174 
0.00700 0.002 825 3.45 -5.1 6.8451 0.00000794328 
0.00700 0.003 1007 3.61 -4.73 6.8451 0.0000186209 
0.00700 0.004 1164 3.71 -4.46 6.8451 0.0000346737 
0.00700 0.005 1300 3.79 -4.25 6.8451 0.0000562341 
0.00700 0.006 1430 3.85 -4.06 6.8451 0.0000870964 
0.00700 0.007 1555 3.89 -3.89 6.8451 0.000128825 
0.00700 0.008 1665 3.93 -3.75 6.8451 0.000177828 
0.00700 0.009 1766 3.96 -3.63 6.8451 0.000234423 
0.00700 0.010 1860 3.98 -3.52 6.8451 0.000301995 
0.00700 0.012 2014 4.02 -3.34 6.8451 0.000457088 
0.00700 0.015 2221 4.01 -3.07 6.8451 0.000851138 
0.00700 0.020 2447 3.92 -2.68 6.8451 0.0020893 
0.00700 0.030 2621 3.83 -2.3 6.8451 0.00501187 
0.00700 0.040 2764 3.99 -2.24 6.8451 0.0057544 
0.00700 0.050 2829 3.93 -2.04 6.8451 0.00912011 
0.00700 0.060 2887 4.05 -2.05 6.8451 0.00891251 
0.00700 0.070 2932 4.06 -1.96 6.8451 0.0109648 
0.00700 0.072 2940 4.06 -1.94 6.8451 0.0114815 
0.00700 0.075 2953 4 -1.86 6.8451 0.0138038 
0.00700 0.080 2968 4.06 -1.88 6.8451 0.0131826 
0.00700 0.090 2998 4.06 -1.82 6.8451 0.0151356 
0.00700 0.100 3023 4.02 -1.71 6.8451 0.0194984 
0.00700 0.110 3106 4.09 -1.7 6.8451 0.0199526 
0.00700 0.130 3144 4.09 -1.6 6.8451 0.0251189 
0.00700 0.150 3181 4.09 -1.52 6.8451 0.0301995 
0.00700 0.175 3214 4.09 -1.43 6.8451 0.0371535 
0.00700 0.200 3240 4.09 -1.36 6.8451 0.0436516 
0.00700 0.250 3294 4.08 -1.23 6.8451 0.0588844 
0.00700 0.300 3343 4.08 -1.13 6.8451 0.074131 
0.00700 0.350 3397 4.08 -1.03 6.8451 0.0933254 
0.00700 0.400 3453 4.09 -0.95 6.8451 0.112202 
0.00700 0.450 3502 4.09 -0.87 6.8451 0.134896 
0.00700 0.500 3551 4.08 -0.8 6.8451 0.158489 
0.00700 0.570 3605 4.09 -0.72 6.8451 0.190546 
0.00700 0.600 3630 4.09 -0.69 6.8451 0.204174 
0.00700 0.620 3644 4.09 -0.66 6.8451 0.218776 
0.00700 0.700 3698 4.09 -0.59 6.8451 0.25704 
0.00700 0.750 3737 4.09 -0.54 6.8451 0.288403 
0.00700 0.800 3773 4.09 -0.5 6.8451 0.316228 
0.00700 0.850 3807 4.09 -0.45 6.8451 0.354813 
0.00700 0.900 3849 4.1 -0.42 6.8451 0.380189 
0.00700 0.950 3884 4.09 -0.37 6.8451 0.42658 
0.00700 1.000 3951 4.1 -0.32 6.8451 0.47863 
0.00700 1.050 4020 4.1 -0.28 6.8451 0.524807 
0.00700 1.100 4070 4.1 -0.23 6.8451 0.588844 
0.00700 1.150 4123 4.1 -0.19 6.8451 0.645654 
0.00700 1.200 4176 4.1 -0.15 6.8451 0.707946 
0.00700 1.300 4290 4.09 -0.06 6.8451 0.870964 
0.00700 1.400 4426 4.07 0.04 6.8451 1.09648 
