t m teff logg logL logt Lum 
0.00100 0.001 628 2.65 -5.37 6 0.0000042658 
0.00100 0.001 942 3 -4.72 6 0.0000190546 
0.00100 0.002 1285 3.26 -4.14 6 0.0000724436 
0.00100 0.003 1553 3.37 -3.75 6 0.000177828 
0.00100 0.004 1747 3.44 -3.48 6 0.000331131 
0.00100 0.005 1901 3.47 -3.27 6 0.000537032 
0.00100 0.006 2004 3.5 -3.13 6 0.00074131 
0.00100 0.007 2098 3.51 -3 6 0.001 
0.00100 0.008 2159 3.52 -2.89 6 0.00128825 
0.00100 0.009 2207 3.53 -2.81 6 0.00154882 
0.00100 0.010 2251 3.53 -2.73 6 0.00186209 
0.00100 0.012 2321 3.54 -2.61 6 0.00245471 
0.00100 0.015 2400 3.54 -2.46 6 0.00346737 
0.00100 0.020 2484 3.55 -2.28 6 0.00524807 
0.00100 0.030 2598 3.69 -2.17 6 0.00676083 
0.00100 0.040 2746 3.68 -1.94 6 0.0114815 
0.00100 0.050 2768 3.49 -1.64 6 0.0229087 
0.00100 0.060 2824 3.57 -1.6 6 0.0251189 
0.00100 0.070 2853 3.53 -1.48 6 0.0331131 
0.00100 0.072 2858 3.52 -1.45 6 0.0354813 
0.00100 0.075 2833 3.46 -1.39 6 0.040738 
0.00100 0.080 2869 3.49 -1.37 6 0.042658 
0.00100 0.090 2867 3.46 -1.29 6 0.0512861 
0.00100 0.100 2856 3.39 -1.19 6 0.0645654 
0.00100 0.110 3023 3.43 -1.08 6 0.0831764 
0.00100 0.130 3072 3.41 -0.96 6 0.109648 
0.00100 0.150 3120 3.39 -0.85 6 0.141254 
0.00100 0.175 3163 3.39 -0.76 6 0.17378 
0.00100 0.200 3193 3.4 -0.7 6 0.199526 
0.00100 0.250 3242 3.43 -0.61 6 0.245471 
0.00100 0.300 3281 3.46 -0.53 6 0.295121 
0.00100 0.350 3318 3.47 -0.46 6 0.346737 
0.00100 0.400 3357 3.48 -0.39 6 0.40738 
0.00100 0.450 3388 3.49 -0.34 6 0.457088 
0.00100 0.500 3427 3.5 -0.28 6 0.524807 
0.00100 0.570 3485 3.52 -0.21 6 0.616595 
0.00100 0.600 3507 3.52 -0.17 6 0.676083 
0.00100 0.620 3525 3.52 -0.15 6 0.707946 
0.00100 0.700 3593 3.53 -0.08 6 0.831764 
0.00100 0.750 3632 3.54 -0.04 6 0.912011 
0.00100 0.800 3670 3.55 0 6 1 
0.00100 0.850 3705 3.55 0.04 6 1.09648 
0.00100 0.900 3752 3.61 0.03 6 1.07152 
0.00100 0.950 3776 3.56 0.11 6 1.28825 
0.00100 1.000 3810 3.58 0.13 6 1.34896 
0.00100 1.050 3841 3.57 0.17 6 1.47911 
0.00100 1.100 3871 3.57 0.21 6 1.62181 
0.00100 1.150 3899 3.58 0.23 6 1.69824 
0.00100 1.200 3978 3.58 0.28 6 1.90546 
0.00100 1.300 4098 3.6 0.35 6 2.23872 
0.00100 1.400 4197 3.6 0.42 6 2.63027 
