t m teff logg logL logt Lum 
0.00500 0.001 455 2.79 -6.08 6.69897 0.000000831764 
0.00500 0.001 644 3.14 -5.52 6.69897 0.00000301995 
0.00500 0.002 901 3.43 -4.92 6.69897 0.0000120226 
0.00500 0.003 1098 3.58 -4.55 6.69897 0.0000281838 
0.00500 0.004 1263 3.68 -4.28 6.69897 0.0000524807 
0.00500 0.005 1413 3.75 -4.06 6.69897 0.0000870964 
0.00500 0.006 1543 3.8 -3.89 6.69897 0.000128825 
0.00500 0.007 1668 3.84 -3.73 6.69897 0.000186209 
0.00500 0.008 1786 3.87 -3.58 6.69897 0.000263027 
0.00500 0.009 1885 3.9 -3.46 6.69897 0.000346737 
0.00500 0.010 1965 3.92 -3.36 6.69897 0.000436516 
0.00500 0.012 2102 3.95 -3.19 6.69897 0.000645654 
0.00500 0.015 2264 3.96 -2.98 6.69897 0.00104713 
0.00500 0.020 2452 3.9 -2.66 6.69897 0.00218776 
0.00500 0.030 2616 3.79 -2.26 6.69897 0.00549541 
0.00500 0.040 2754 3.81 -2.07 6.69897 0.00851138 
0.00500 0.050 2806 3.72 -1.85 6.69897 0.0141254 
0.00500 0.060 2875 3.9 -1.9 6.69897 0.0125893 
0.00500 0.070 2916 3.92 -1.83 6.69897 0.0147911 
0.00500 0.072 2921 3.92 -1.81 6.69897 0.0154882 
0.00500 0.075 2912 3.83 -1.72 6.69897 0.0190546 
0.00500 0.080 2946 3.92 -1.76 6.69897 0.017378 
0.00500 0.090 2974 3.93 -1.7 6.69897 0.0199526 
0.00500 0.100 2983 3.86 -1.58 6.69897 0.0263027 
0.00500 0.110 3094 3.97 -1.59 6.69897 0.025704 
0.00500 0.130 3130 3.97 -1.49 6.69897 0.0323594 
0.00500 0.150 3163 3.98 -1.42 6.69897 0.0380189 
0.00500 0.175 3198 3.98 -1.33 6.69897 0.0467735 
0.00500 0.200 3225 3.98 -1.26 6.69897 0.0549541 
0.00500 0.250 3287 3.98 -1.13 6.69897 0.074131 
0.00500 0.300 3345 3.98 -1.02 6.69897 0.0954993 
0.00500 0.350 3402 3.98 -0.93 6.69897 0.11749 
0.00500 0.400 3455 3.98 -0.84 6.69897 0.144544 
0.00500 0.450 3495 3.98 -0.77 6.69897 0.169824 
0.00500 0.500 3538 3.98 -0.7 6.69897 0.199526 
0.00500 0.570 3588 3.98 -0.62 6.69897 0.239883 
0.00500 0.600 3608 3.99 -0.59 6.69897 0.25704 
0.00500 0.620 3623 3.98 -0.57 6.69897 0.269153 
0.00500 0.700 3678 3.99 -0.5 6.69897 0.316228 
0.00500 0.750 3709 3.99 -0.45 6.69897 0.354813 
0.00500 0.800 3745 3.99 -0.41 6.69897 0.389045 
0.00500 0.850 3779 4 -0.37 6.69897 0.42658 
0.00500 0.900 3815 4 -0.34 6.69897 0.457088 
0.00500 0.950 3852 4 -0.3 6.69897 0.501187 
0.00500 1.000 3890 4.01 -0.26 6.69897 0.549541 
0.00500 1.050 3977 4 -0.2 6.69897 0.630957 
0.00500 1.100 4035 4.01 -0.16 6.69897 0.691831 
0.00500 1.150 4078 4.01 -0.13 6.69897 0.74131 
0.00500 1.200 4122 4.02 -0.09 6.69897 0.812831 
0.00500 1.300 4209 4.02 -0.02 6.69897 0.954993 
0.00500 1.400 4303 4.01 0.05 6.69897 1.12202 
