t m teff logg logL logt Lum 
0.01000 0.001 540 3.18 -5.87 7 0.00000134896 
0.01000 0.002 746 3.47 -5.3 7 0.00000501187 
0.01000 0.003 920 3.63 -4.91 7 0.0000123027 
0.01000 0.004 1064 3.74 -4.64 7 0.0000229087 
0.01000 0.005 1193 3.82 -4.43 7 0.0000371535 
0.01000 0.006 1316 3.88 -4.24 7 0.000057544 
0.01000 0.007 1426 3.94 -4.09 7 0.0000812831 
0.01000 0.008 1536 3.98 -3.94 7 0.000114815 
0.01000 0.009 1635 4.01 -3.82 7 0.000151356 
0.01000 0.010 1731 4.04 -3.7 7 0.000199526 
0.01000 0.012 1915 4.08 -3.49 7 0.000323594 
0.01000 0.015 2188 4.05 -3.13 7 0.00074131 
0.01000 0.020 2442 3.95 -2.71 7 0.00194984 
0.01000 0.030 2622 3.97 -2.43 7 0.00371535 
0.01000 0.040 2734 4.15 -2.41 7 0.00389045 
0.01000 0.050 2821 4.12 -2.23 7 0.00588844 
0.01000 0.060 2871 4.18 -2.19 7 0.00645654 
0.01000 0.070 2919 4.19 -2.1 7 0.00794328 
0.01000 0.072 2927 4.19 -2.08 7 0.00831764 
0.01000 0.075 2942 4.16 -2.02 7 0.00954993 
0.01000 0.080 2958 4.19 -2.02 7 0.00954993 
0.01000 0.090 2993 4.19 -1.94 7 0.0114815 
0.01000 0.100 3024 4.16 -1.85 7 0.0141254 
0.01000 0.110 3112 4.22 -1.82 7 0.0151356 
0.01000 0.130 3149 4.21 -1.72 7 0.0190546 
0.01000 0.150 3186 4.21 -1.64 7 0.0229087 
0.01000 0.175 3222 4.21 -1.55 7 0.0281838 
0.01000 0.200 3251 4.2 -1.46 7 0.0346737 
0.01000 0.250 3303 4.2 -1.34 7 0.0457088 
0.01000 0.300 3345 4.19 -1.23 7 0.0588844 
0.01000 0.350 3396 4.19 -1.14 7 0.0724436 
0.01000 0.400 3451 4.19 -1.05 7 0.0891251 
0.01000 0.450 3503 4.19 -0.98 7 0.104713 
0.01000 0.500 3555 4.19 -0.9 7 0.125893 
0.01000 0.570 3619 4.19 -0.82 7 0.151356 
0.01000 0.600 3645 4.19 -0.78 7 0.165959 
0.01000 0.620 3660 4.19 -0.76 7 0.17378 
0.01000 0.700 3719 4.19 -0.68 7 0.20893 
0.01000 0.750 3758 4.19 -0.64 7 0.229087 
0.01000 0.800 3795 4.19 -0.59 7 0.25704 
0.01000 0.850 3839 4.19 -0.54 7 0.288403 
0.01000 0.900 3882 4.19 -0.5 7 0.316228 
0.01000 0.950 3939 4.19 -0.44 7 0.363078 
0.01000 1.000 4011 4.19 -0.39 7 0.40738 
0.01000 1.050 4075 4.19 -0.34 7 0.457088 
0.01000 1.100 4142 4.18 -0.29 7 0.512861 
0.01000 1.150 4212 4.18 -0.23 7 0.588844 
0.01000 1.200 4291 4.17 -0.18 7 0.660693 
0.01000 1.300 4476 4.14 -0.04 7 0.912011 
0.01000 1.400 4707 4.1 0.13 7 1.34896 
