t m teff logg logL logt Lum 
0.00900 0.001 556 3.18 -5.81 6.95424 0.00000154882 
0.00900 0.002 768 3.47 -5.24 6.95424 0.0000057544 
0.00900 0.003 942 3.62 -4.87 6.95424 0.0000134896 
0.00900 0.004 1093 3.73 -4.59 6.95424 0.000025704 
0.00900 0.005 1222 3.81 -4.38 6.95424 0.0000416869 
0.00900 0.006 1346 3.87 -4.19 6.95424 0.0000645654 
0.00900 0.007 1464 3.92 -4.03 6.95424 0.0000933254 
0.00900 0.008 1573 3.96 -3.89 6.95424 0.000128825 
0.00900 0.009 1674 4 -3.76 6.95424 0.00017378 
0.00900 0.010 1770 4.03 -3.65 6.95424 0.000223872 
0.00900 0.012 1948 4.06 -3.44 6.95424 0.000363078 
0.00900 0.015 2195 4.04 -3.11 6.95424 0.000776247 
0.00900 0.020 2445 3.94 -2.7 6.95424 0.00199526 
0.00900 0.030 2624 3.91 -2.37 6.95424 0.0042658 
0.00900 0.040 2743 4.1 -2.36 6.95424 0.00436516 
0.00900 0.050 2828 4.07 -2.18 6.95424 0.00660693 
0.00900 0.060 2875 4.15 -2.15 6.95424 0.00707946 
0.00900 0.070 2922 4.15 -2.06 6.95424 0.00870964 
0.00900 0.072 2930 4.15 -2.04 6.95424 0.00912011 
0.00900 0.075 2946 4.11 -1.98 6.95424 0.0104713 
0.00900 0.080 2961 4.15 -1.98 6.95424 0.0104713 
0.00900 0.090 2996 4.15 -1.91 6.95424 0.0123027 
0.00900 0.100 3023 4.12 -1.81 6.95424 0.0154882 
0.00900 0.110 3110 4.18 -1.79 6.95424 0.0162181 
0.00900 0.130 3148 4.18 -1.69 6.95424 0.0204174 
0.00900 0.150 3184 4.17 -1.6 6.95424 0.0251189 
0.00900 0.175 3220 4.17 -1.51 6.95424 0.030903 
0.00900 0.200 3248 4.17 -1.43 6.95424 0.0371535 
0.00900 0.250 3300 4.16 -1.31 6.95424 0.0489779 
0.00900 0.300 3343 4.16 -1.2 6.95424 0.0630957 
0.00900 0.350 3395 4.16 -1.11 6.95424 0.0776247 
0.00900 0.400 3451 4.16 -1.02 6.95424 0.0954993 
0.00900 0.450 3503 4.16 -0.94 6.95424 0.114815 
0.00900 0.500 3555 4.16 -0.88 6.95424 0.131826 
0.00900 0.570 3617 4.16 -0.79 6.95424 0.162181 
0.00900 0.600 3642 4.16 -0.75 6.95424 0.177828 
0.00900 0.620 3656 4.16 -0.73 6.95424 0.186209 
0.00900 0.700 3714 4.16 -0.66 6.95424 0.218776 
0.00900 0.750 3753 4.16 -0.61 6.95424 0.245471 
0.00900 0.800 3790 4.16 -0.56 6.95424 0.275423 
0.00900 0.850 3830 4.16 -0.52 6.95424 0.301995 
0.00900 0.900 3872 4.16 -0.47 6.95424 0.338844 
0.00900 0.950 3917 4.16 -0.42 6.95424 0.380189 
0.00900 1.000 3993 4.16 -0.37 6.95424 0.42658 
0.00900 1.050 4054 4.16 -0.32 6.95424 0.47863 
0.00900 1.100 4114 4.16 -0.28 6.95424 0.524807 
0.00900 1.150 4178 4.16 -0.23 6.95424 0.588844 
0.00900 1.200 4250 4.15 -0.18 6.95424 0.660693 
0.00900 1.300 4403 4.13 -0.06 6.95424 0.870964 
0.00900 1.400 4606 4.1 0.09 6.95424 1.23027 
