t m teff logg logL logt Lum 
0.00400 0.001 473 2.78 -5.99 6.60206 0.00000102329 
0.00400 0.001 685 3.12 -5.4 6.60206 0.00000398107 
0.00400 0.002 957 3.41 -4.8 6.60206 0.0000158489 
0.00400 0.003 1160 3.55 -4.43 6.60206 0.0000371535 
0.00400 0.004 1327 3.65 -4.17 6.60206 0.0000676083 
0.00400 0.005 1490 3.72 -3.94 6.60206 0.000114815 
0.00400 0.006 1626 3.77 -3.76 6.60206 0.00017378 
0.00400 0.007 1750 3.81 -3.6 6.60206 0.000251189 
0.00400 0.008 1858 3.84 -3.47 6.60206 0.000338844 
0.00400 0.009 1951 3.86 -3.36 6.60206 0.000436516 
0.00400 0.010 2029 3.87 -3.26 6.60206 0.000549541 
0.00400 0.012 2152 3.9 -3.1 6.60206 0.000794328 
0.00400 0.015 2294 3.91 -2.91 6.60206 0.00123027 
0.00400 0.020 2456 3.88 -2.64 6.60206 0.00229087 
0.00400 0.030 2615 3.78 -2.25 6.60206 0.00562341 
0.00400 0.040 2751 3.76 -2.01 6.60206 0.00977237 
0.00400 0.050 2798 3.67 -1.8 6.60206 0.0158489 
0.00400 0.060 2854 3.79 -1.8 6.60206 0.0158489 
0.00400 0.070 2895 3.82 -1.74 6.60206 0.018197 
0.00400 0.072 2902 3.82 -1.72 6.60206 0.0190546 
0.00400 0.075 2891 3.69 -1.58 6.60206 0.0263027 
0.00400 0.080 2925 3.83 -1.68 6.60206 0.020893 
0.00400 0.090 2951 3.83 -1.61 6.60206 0.0245471 
0.00400 0.100 2957 3.75 -1.48 6.60206 0.0331131 
0.00400 0.110 3065 3.89 -1.51 6.60206 0.030903 
0.00400 0.130 3105 3.9 -1.43 6.60206 0.0371535 
0.00400 0.150 3130 3.9 -1.35 6.60206 0.0446684 
0.00400 0.175 3162 3.9 -1.27 6.60206 0.0537032 
0.00400 0.200 3197 3.9 -1.2 6.60206 0.0630957 
0.00400 0.250 3270 3.9 -1.06 6.60206 0.0870964 
0.00400 0.300 3340 3.91 -0.95 6.60206 0.112202 
0.00400 0.350 3400 3.91 -0.86 6.60206 0.138038 
0.00400 0.400 3452 3.92 -0.78 6.60206 0.165959 
0.00400 0.450 3492 3.91 -0.7 6.60206 0.199526 
0.00400 0.500 3533 3.92 -0.64 6.60206 0.229087 
0.00400 0.570 3584 3.92 -0.56 6.60206 0.275423 
0.00400 0.600 3604 3.92 -0.53 6.60206 0.295121 
0.00400 0.620 3619 3.92 -0.51 6.60206 0.30903 
0.00400 0.700 3674 3.92 -0.43 6.60206 0.371535 
0.00400 0.750 3703 3.92 -0.39 6.60206 0.40738 
0.00400 0.800 3740 3.93 -0.35 6.60206 0.446684 
0.00400 0.850 3773 3.93 -0.31 6.60206 0.489779 
0.00400 0.900 3806 3.94 -0.28 6.60206 0.524807 
0.00400 0.950 3841 3.93 -0.23 6.60206 0.588844 
0.00400 1.000 3878 3.94 -0.21 6.60206 0.616595 
0.00400 1.050 3928 3.94 -0.16 6.60206 0.691831 
0.00400 1.100 4014 3.95 -0.11 6.60206 0.776247 
0.00400 1.150 4057 3.96 -0.08 6.60206 0.831764 
0.00400 1.200 4098 3.96 -0.04 6.60206 0.912011 
0.00400 1.300 4180 3.97 0.02 6.60206 1.04713 
0.00400 1.400 4260 3.96 0.08 6.60206 1.20226 
