t m teff logg logL logt Lum 
0.00800 0.001 409 2.83 -6.3 6.90309 0.000000501187 
0.00800 0.001 576 3.17 -5.74 6.90309 0.0000018197 
0.00800 0.002 796 3.46 -5.17 6.90309 0.00000676083 
0.00800 0.003 972 3.62 -4.8 6.90309 0.0000158489 
0.00800 0.004 1128 3.72 -4.52 6.90309 0.0000301995 
0.00800 0.005 1265 3.8 -4.31 6.90309 0.0000489779 
0.00800 0.006 1384 3.86 -4.13 6.90309 0.000074131 
0.00800 0.007 1502 3.91 -3.97 6.90309 0.000107152 
0.00800 0.008 1611 3.95 -3.83 6.90309 0.000147911 
0.00800 0.009 1712 3.98 -3.71 6.90309 0.000194984 
0.00800 0.010 1808 4.01 -3.6 6.90309 0.000251189 
0.00800 0.012 1979 4.04 -3.39 6.90309 0.00040738 
0.00800 0.015 2206 4.03 -3.09 6.90309 0.000812831 
0.00800 0.020 2446 3.93 -2.69 6.90309 0.00204174 
0.00800 0.030 2623 3.86 -2.33 6.90309 0.00467735 
0.00800 0.040 2754 4.05 -2.31 6.90309 0.00489779 
0.00800 0.050 2835 4.01 -2.11 6.90309 0.00776247 
0.00800 0.060 2881 4.1 -2.1 6.90309 0.00794328 
0.00800 0.070 2927 4.11 -2.01 6.90309 0.00977237 
0.00800 0.072 2935 4.11 -2 6.90309 0.01 
0.00800 0.075 2950 4.06 -1.93 6.90309 0.011749 
0.00800 0.080 2965 4.11 -1.93 6.90309 0.011749 
0.00800 0.090 2997 4.11 -1.86 6.90309 0.0138038 
0.00800 0.100 3023 4.07 -1.77 6.90309 0.0169824 
0.00800 0.110 3108 4.14 -1.75 6.90309 0.0177828 
0.00800 0.130 3146 4.14 -1.65 6.90309 0.0223872 
0.00800 0.150 3183 4.14 -1.56 6.90309 0.0275423 
0.00800 0.175 3217 4.13 -1.47 6.90309 0.0338844 
0.00800 0.200 3244 4.13 -1.4 6.90309 0.0398107 
0.00800 0.250 3296 4.13 -1.27 6.90309 0.0537032 
0.00800 0.300 3343 4.13 -1.17 6.90309 0.0676083 
0.00800 0.350 3396 4.13 -1.07 6.90309 0.0851138 
0.00800 0.400 3451 4.12 -0.98 6.90309 0.104713 
0.00800 0.450 3503 4.12 -0.91 6.90309 0.123027 
0.00800 0.500 3554 4.12 -0.84 6.90309 0.144544 
0.00800 0.570 3612 4.12 -0.75 6.90309 0.177828 
0.00800 0.600 3636 4.12 -0.72 6.90309 0.190546 
0.00800 0.620 3652 4.13 -0.7 6.90309 0.199526 
0.00800 0.700 3707 4.13 -0.62 6.90309 0.239883 
0.00800 0.750 3746 4.13 -0.58 6.90309 0.263027 
0.00800 0.800 3782 4.13 -0.53 6.90309 0.295121 
0.00800 0.850 3819 4.13 -0.49 6.90309 0.323594 
0.00800 0.900 3860 4.13 -0.45 6.90309 0.354813 
0.00800 0.950 3897 4.13 -0.4 6.90309 0.398107 
0.00800 1.000 3974 4.13 -0.35 6.90309 0.446684 
0.00800 1.050 4036 4.13 -0.3 6.90309 0.501187 
0.00800 1.100 4092 4.13 -0.26 6.90309 0.549541 
0.00800 1.150 4151 4.13 -0.22 6.90309 0.60256 
0.00800 1.200 4210 4.13 -0.17 6.90309 0.676083 
0.00800 1.300 4343 4.11 -0.06 6.90309 0.870964 
0.00800 1.400 4508 4.09 0.06 6.90309 1.14815 
