t m teff logg logL logt Lum 
0.00600 0.001 436 2.81 -6.17 6.77815 0.000000676083 
0.00600 0.001 614 3.15 -5.62 6.77815 0.00000239883 
0.00600 0.002 860 3.44 -5.02 6.77815 0.00000954993 
0.00600 0.003 1050 3.59 -4.65 6.77815 0.0000223872 
0.00600 0.004 1213 3.69 -4.37 6.77815 0.000042658 
0.00600 0.005 1354 3.77 -4.16 6.77815 0.0000691831 
0.00600 0.006 1483 3.83 -3.98 6.77815 0.000104713 
0.00600 0.007 1607 3.87 -3.82 6.77815 0.000151356 
0.00600 0.008 1718 3.9 -3.68 6.77815 0.00020893 
0.00600 0.009 1818 3.93 -3.56 6.77815 0.000275423 
0.00600 0.010 1910 3.96 -3.45 6.77815 0.000354813 
0.00600 0.012 2057 3.98 -3.27 6.77815 0.000537032 
0.00600 0.015 2238 3.99 -3.03 6.77815 0.000933254 
0.00600 0.020 2449 3.92 -2.68 6.77815 0.0020893 
0.00600 0.030 2619 3.81 -2.28 6.77815 0.00524807 
0.00600 0.040 2759 3.91 -2.16 6.77815 0.00691831 
0.00600 0.050 2818 3.83 -1.95 6.77815 0.0112202 
0.00600 0.060 2890 3.98 -1.98 6.77815 0.0104713 
0.00600 0.070 2935 4 -1.9 6.77815 0.0125893 
0.00600 0.072 2942 4 -1.88 6.77815 0.0131826 
0.00600 0.075 2933 3.93 -1.8 6.77815 0.0158489 
0.00600 0.080 2970 4 -1.82 6.77815 0.0151356 
0.00600 0.090 2999 4 -1.75 6.77815 0.0177828 
0.00600 0.100 3006 3.95 -1.65 6.77815 0.0223872 
0.00600 0.110 3105 4.04 -1.65 6.77815 0.0223872 
0.00600 0.130 3143 4.04 -1.55 6.77815 0.0281838 
0.00600 0.150 3178 4.04 -1.47 6.77815 0.0338844 
0.00600 0.175 3211 4.04 -1.38 6.77815 0.0416869 
0.00600 0.200 3236 4.03 -1.31 6.77815 0.0489779 
0.00600 0.250 3292 4.04 -1.18 6.77815 0.0660693 
0.00600 0.300 3345 4.04 -1.08 6.77815 0.0831764 
0.00600 0.350 3399 4.04 -0.98 6.77815 0.104713 
0.00600 0.400 3454 4.04 -0.9 6.77815 0.125893 
0.00600 0.450 3499 4.03 -0.82 6.77815 0.151356 
0.00600 0.500 3545 4.04 -0.76 6.77815 0.17378 
0.00600 0.570 3596 4.04 -0.68 6.77815 0.20893 
0.00600 0.600 3619 4.04 -0.64 6.77815 0.229087 
0.00600 0.620 3635 4.04 -0.62 6.77815 0.239883 
0.00600 0.700 3689 4.04 -0.55 6.77815 0.281838 
0.00600 0.750 3726 4.05 -0.5 6.77815 0.316228 
0.00600 0.800 3762 4.05 -0.46 6.77815 0.346737 
0.00600 0.850 3794 4.05 -0.42 6.77815 0.380189 
0.00600 0.900 3834 4.06 -0.38 6.77815 0.416869 
0.00600 0.950 3871 4.05 -0.34 6.77815 0.457088 
0.00600 1.000 3919 4.05 -0.3 6.77815 0.501187 
0.00600 1.050 4004 4.06 -0.24 6.77815 0.57544 
0.00600 1.100 4051 4.06 -0.2 6.77815 0.630957 
0.00600 1.150 4100 4.06 -0.17 6.77815 0.676083 
0.00600 1.200 4147 4.06 -0.13 6.77815 0.74131 
0.00600 1.300 4248 4.06 -0.05 6.77815 0.891251 
0.00600 1.400 4358 4.05 0.04 6.77815 1.09648 
