t m teff logg logL Lum R 
6.000 0.0400 716. 5.19 -5.78 1.6595869074376E-6 5.89 
6.000 0.0500 885. 5.32 -5.45 3.5481338923358E-6 5.64 
6.000 0.0600 1070. 5.43 -5.15 7.0794578438414E-6 5.46 
6.000 0.0700 1463. 5.48 -4.59 2.5703957827689E-5 5.57 
6.000 0.0720 1669. 5.46 -4.33 4.677351412872E-5 5.74 
6.000 0.0750 2001. 5.41 -3.95 0.0001122018454302 6.20 
6.000 0.0800 2321. 5.35 -3.60 0.00025118864315096 6.86 
6.000 0.0900 2623. 5.29 -3.27 0.00053703179637025 7.84 
6.000 0.1000 2785. 5.25 -3.08 0.00083176377110267 8.67 
6.000 0.1100 2921. 5.22 -2.93 0.0011748975549395 9.40 
6.000 0.1300 3055. 5.17 -2.73 0.0018620871366629 10.81 
6.000 0.1500 3151. 5.13 -2.58 0.0026302679918954 12.10 
6.000 0.1750 3236. 5.10 -2.43 0.0037153522909717 13.63 
6.000 0.2000 3292. 5.07 -2.31 0.0048977881936845 15.11 
6.000 0.2500 3377. 5.01 -2.11 0.0077624711662869 18.02 
6.000 0.3000 3436. 4.96 -1.96 0.010964781961432 20.84 
6.000 0.3500 3475. 4.92 -1.83 0.014791083881682 23.49 
6.000 0.4000 3522. 4.89 -1.71 0.01949844599758 26.25 
6.000 0.4500 3582. 4.84 -1.59 0.025703957827689 29.21 
6.000 0.5000 3650. 4.80 -1.46 0.034673685045253 32.60 
6.000 0.5700 3806. 4.73 -1.26 0.054954087385762 37.72 
6.000 0.6000 3897. 4.70 -1.17 0.067608297539198 39.92 
6.000 0.6200 3965. 4.68 -1.11 0.077624711662869 41.37 
6.000 0.7000 4248. 4.61 -0.87 0.13489628825917 47.52 
6.000 0.7500 4472. 4.58 -0.72 0.19054607179632 51.09 
6.000 0.8000 4668. 4.54 -0.57 0.26915348039269 55.44 
6.000 0.8500 4862. 4.49 -0.43 0.37153522909717 60.40 
6.000 0.9000 5068. 4.44 -0.28 0.52480746024977 65.74 
6.000 0.9500 5258. 4.38 -0.14 0.72443596007499 72.44 
6.000 1.0000 5421. 4.30 0.02 1.0471285480509 81.16 
6.000 1.0500 5555. 4.22 0.17 1.4791083881682 92.07 
6.000 1.1000 5536. 4.13 0.27 1.8620871366629 104.46 
