t m teff logg logL Lum 
0.004 0.0010 685. 3.12 -5.40 3.981071705535E-6 
0.004 0.0020 957. 3.41 -4.80 1.5848931924611E-5 
0.004 0.0030 1160. 3.55 -4.43 3.7153522909717E-5 
0.004 0.0040 1327. 3.65 -4.17 6.7608297539198E-5 
0.004 0.0050 1490. 3.72 -3.94 0.00011481536214969 
0.004 0.0060 1626. 3.77 -3.76 0.00017378008287494 
0.004 0.0070 1750. 3.81 -3.60 0.00025118864315096 
0.004 0.0080 1858. 3.84 -3.47 0.0003388441561392 
0.004 0.0090 1951. 3.86 -3.36 0.00043651583224017 
0.004 0.0100 2029. 3.87 -3.26 0.00054954087385762 
0.004 0.0120 2152. 3.90 -3.10 0.00079432823472428 
0.004 0.0150 2294. 3.91 -2.91 0.0012302687708124 
0.004 0.0200 2456. 3.88 -2.64 0.0022908676527678 
0.004 0.0300 2615. 3.78 -2.25 0.0056234132519035 
0.004 0.0400 2751. 3.76 -2.01 0.0097723722095581 
0.004 0.0500 2798. 3.67 -1.80 0.015848931924611 
0.004 0.0600 2854. 3.79 -1.80 0.015848931924611 
0.004 0.0700 2895. 3.82 -1.74 0.0181970085861 
0.004 0.0720 2902. 3.82 -1.72 0.019054607179632 
0.004 0.0750 2891. 3.69 -1.58 0.026302679918954 
0.004 0.0800 2925. 3.83 -1.68 0.02089296130854 
0.004 0.0900 2951. 3.83 -1.61 0.02454708915685 
0.004 0.1000 2957. 3.75 -1.48 0.033113112148259 
0.004 0.1100 3065. 3.89 -1.51 0.030902954325136 
0.004 0.1300 3105. 3.90 -1.43 0.037153522909717 
0.004 0.1500 3130. 3.90 -1.35 0.044668359215096 
0.004 0.1750 3162. 3.90 -1.27 0.053703179637025 
0.004 0.2000 3197. 3.90 -1.20 0.063095734448019 
0.004 0.2500 3270. 3.90 -1.06 0.087096358995608 
0.004 0.3000 3340. 3.91 -0.95 0.1122018454302 
0.004 0.3500 3400. 3.91 -0.86 0.13803842646029 
0.004 0.4000 3452. 3.92 -0.78 0.16595869074376 
0.004 0.4500 3492. 3.91 -0.70 0.19952623149689 
0.004 0.5000 3533. 3.92 -0.64 0.22908676527678 
0.004 0.5700 3584. 3.92 -0.56 0.27542287033382 
0.004 0.6000 3604. 3.92 -0.53 0.29512092266664 
0.004 0.6200 3619. 3.92 -0.51 0.30902954325136 
0.004 0.7000 3674. 3.92 -0.43 0.37153522909717 
0.004 0.7500 3703. 3.92 -0.39 0.40738027780411 
0.004 0.8000 3740. 3.93 -0.35 0.44668359215096 
0.004 0.8500 3773. 3.93 -0.31 0.48977881936845 
0.004 0.9000 3806. 3.94 -0.28 0.52480746024977 
0.004 0.9500 3841. 3.93 -0.23 0.58884365535559 
0.004 1.0000 3878. 3.94 -0.21 0.61659500186148 
0.004 1.0500 3928. 3.94 -0.16 0.69183097091894 
0.004 1.1000 4014. 3.95 -0.11 0.77624711662869 
0.004 1.1500 4057. 3.96 -0.08 0.83176377110267 
0.004 1.2000 4098. 3.96 -0.04 0.91201083935591 
0.004 1.3000 4180. 3.97 0.02 1.0471285480509 
0.004 1.4000 4260. 3.96 0.08 1.2022644346174 
