t m teff logg logL Lum 
0.010 0.0020 746. 3.47 -5.30 5.0118723362727E-6 
0.010 0.0030 920. 3.63 -4.91 1.2302687708124E-5 
0.010 0.0040 1064. 3.74 -4.64 2.2908676527678E-5 
0.010 0.0050 1193. 3.82 -4.43 3.7153522909717E-5 
0.010 0.0060 1316. 3.88 -4.24 5.7543993733716E-5 
0.010 0.0070 1426. 3.94 -4.09 8.128305161641E-5 
0.010 0.0080 1536. 3.98 -3.94 0.00011481536214969 
0.010 0.0090 1635. 4.01 -3.82 0.00015135612484362 
0.010 0.0100 1731. 4.04 -3.70 0.00019952623149689 
0.010 0.0120 1915. 4.08 -3.49 0.00032359365692963 
0.010 0.0150 2188. 4.05 -3.13 0.00074131024130092 
0.010 0.0200 2442. 3.95 -2.71 0.001949844599758 
0.010 0.0300 2622. 3.97 -2.43 0.0037153522909717 
0.010 0.0400 2734. 4.15 -2.41 0.0038904514499428 
0.010 0.0500 2821. 4.12 -2.23 0.0058884365535559 
0.010 0.0600 2871. 4.18 -2.19 0.0064565422903466 
0.010 0.0700 2919. 4.19 -2.10 0.0079432823472428 
0.010 0.0720 2927. 4.19 -2.08 0.0083176377110267 
0.010 0.0750 2942. 4.16 -2.02 0.0095499258602144 
0.010 0.0800 2958. 4.19 -2.02 0.0095499258602144 
0.010 0.0900 2993. 4.19 -1.94 0.011481536214969 
0.010 0.1000 3024. 4.16 -1.85 0.014125375446228 
0.010 0.1100 3112. 4.22 -1.82 0.015135612484362 
0.010 0.1300 3149. 4.21 -1.72 0.019054607179632 
0.010 0.1500 3186. 4.21 -1.64 0.022908676527678 
0.010 0.1750 3222. 4.21 -1.55 0.028183829312645 
0.010 0.2000 3251. 4.20 -1.46 0.034673685045253 
0.010 0.2500 3303. 4.20 -1.34 0.045708818961487 
0.010 0.3000 3345. 4.19 -1.23 0.058884365535559 
0.010 0.3500 3396. 4.19 -1.14 0.072443596007499 
0.010 0.4000 3451. 4.19 -1.05 0.089125093813375 
0.010 0.4500 3503. 4.19 -0.98 0.10471285480509 
0.010 0.5000 3555. 4.19 -0.90 0.12589254117942 
0.010 0.5700 3619. 4.19 -0.82 0.15135612484362 
0.010 0.6000 3645. 4.19 -0.78 0.16595869074376 
0.010 0.6200 3660. 4.19 -0.76 0.17378008287494 
0.010 0.7000 3719. 4.19 -0.68 0.2089296130854 
0.010 0.7500 3758. 4.19 -0.64 0.22908676527678 
0.010 0.8000 3795. 4.19 -0.59 0.25703957827689 
0.010 0.8500 3839. 4.19 -0.54 0.28840315031266 
0.010 0.9000 3882. 4.19 -0.50 0.31622776601684 
0.010 0.9500 3939. 4.19 -0.44 0.3630780547701 
0.010 1.0000 4011. 4.19 -0.39 0.40738027780411 
0.010 1.0500 4075. 4.19 -0.34 0.45708818961488 
0.010 1.1000 4142. 4.18 -0.29 0.51286138399136 
0.010 1.1500 4212. 4.18 -0.23 0.58884365535559 
0.010 1.2000 4291. 4.17 -0.18 0.6606934480076 
0.010 1.3000 4476. 4.14 -0.04 0.91201083935591 
0.010 1.4000 4707. 4.10 0.13 1.3489628825917 
