t m teff logg logL Lum 
0.005 0.0010 644. 3.14 -5.52 3.019951720402E-6 
0.005 0.0020 901. 3.43 -4.92 1.2022644346174E-5 
0.005 0.0030 1098. 3.58 -4.55 2.8183829312645E-5 
0.005 0.0040 1263. 3.68 -4.28 5.2480746024977E-5 
0.005 0.0050 1413. 3.75 -4.06 8.7096358995608E-5 
0.005 0.0060 1543. 3.80 -3.89 0.00012882495516931 
0.005 0.0070 1668. 3.84 -3.73 0.00018620871366629 
0.005 0.0080 1786. 3.87 -3.58 0.00026302679918954 
0.005 0.0090 1885. 3.90 -3.46 0.00034673685045253 
0.005 0.0100 1965. 3.92 -3.36 0.00043651583224017 
0.005 0.0120 2102. 3.95 -3.19 0.00064565422903466 
0.005 0.0150 2264. 3.96 -2.98 0.0010471285480509 
0.005 0.0200 2452. 3.90 -2.66 0.0021877616239496 
0.005 0.0300 2616. 3.79 -2.26 0.0054954087385762 
0.005 0.0400 2754. 3.81 -2.07 0.0085113803820238 
0.005 0.0500 2806. 3.72 -1.85 0.014125375446228 
0.005 0.0600 2875. 3.90 -1.90 0.012589254117942 
0.005 0.0700 2916. 3.92 -1.83 0.014791083881682 
0.005 0.0720 2921. 3.92 -1.81 0.015488166189125 
0.005 0.0750 2912. 3.83 -1.72 0.019054607179632 
0.005 0.0800 2946. 3.92 -1.76 0.017378008287494 
0.005 0.0900 2974. 3.93 -1.70 0.019952623149689 
0.005 0.1000 2983. 3.86 -1.58 0.026302679918954 
0.005 0.1100 3094. 3.97 -1.59 0.025703957827689 
0.005 0.1300 3130. 3.97 -1.49 0.032359365692963 
0.005 0.1500 3163. 3.98 -1.42 0.038018939632056 
0.005 0.1750 3198. 3.98 -1.33 0.04677351412872 
0.005 0.2000 3225. 3.98 -1.26 0.054954087385762 
0.005 0.2500 3287. 3.98 -1.13 0.074131024130092 
0.005 0.3000 3345. 3.98 -1.02 0.095499258602144 
0.005 0.3500 3402. 3.98 -0.93 0.11748975549395 
0.005 0.4000 3455. 3.98 -0.84 0.14454397707459 
0.005 0.4500 3495. 3.98 -0.77 0.16982436524617 
0.005 0.5000 3538. 3.98 -0.70 0.19952623149689 
0.005 0.5700 3588. 3.98 -0.62 0.23988329190195 
0.005 0.6000 3608. 3.99 -0.59 0.25703957827689 
0.005 0.6200 3623. 3.98 -0.57 0.26915348039269 
0.005 0.7000 3678. 3.99 -0.50 0.31622776601684 
0.005 0.7500 3709. 3.99 -0.45 0.35481338923358 
0.005 0.8000 3745. 3.99 -0.41 0.38904514499428 
0.005 0.8500 3779. 4.00 -0.37 0.42657951880159 
0.005 0.9000 3815. 4.00 -0.34 0.45708818961488 
0.005 0.9500 3852. 4.00 -0.30 0.50118723362727 
0.005 1.0000 3890. 4.01 -0.26 0.54954087385762 
0.005 1.0500 3977. 4.00 -0.20 0.63095734448019 
0.005 1.1000 4035. 4.01 -0.16 0.69183097091894 
0.005 1.1500 4078. 4.01 -0.13 0.74131024130092 
0.005 1.2000 4122. 4.02 -0.09 0.8128305161641 
0.005 1.3000 4209. 4.02 -0.02 0.95499258602144 
0.005 1.4000 4303. 4.01 0.05 1.122018454302 
