t m teff logg logL Lum R 
8.000 0.0400 668. 5.19 -5.91 1.2302687708124E-6 5.83 
8.000 0.0500 818. 5.33 -5.60 2.5118864315096E-6 5.57 
8.000 0.0600 995. 5.44 -5.29 5.1286138399136E-6 5.37 
8.000 0.0700 1366. 5.49 -4.72 1.9054607179632E-5 5.47 
8.000 0.0720 1602. 5.47 -4.41 3.8904514499428E-5 5.67 
8.000 0.0750 1997. 5.41 -3.95 0.0001122018454302 6.19 
8.000 0.0800 2321. 5.35 -3.60 0.00025118864315096 6.86 
8.000 0.0900 2624. 5.29 -3.27 0.00053703179637025 7.84 
8.000 0.1000 2785. 5.25 -3.08 0.00083176377110267 8.67 
8.000 0.1100 2921. 5.22 -2.93 0.0011748975549395 9.40 
8.000 0.1300 3056. 5.17 -2.73 0.0018620871366629 10.81 
8.000 0.1500 3152. 5.13 -2.58 0.0026302679918954 12.11 
8.000 0.1750 3237. 5.10 -2.43 0.0037153522909717 13.65 
8.000 0.2000 3293. 5.06 -2.31 0.0048977881936845 15.17 
8.000 0.2500 3378. 5.00 -2.11 0.0077624711662869 18.15 
8.000 0.3000 3436. 4.96 -1.95 0.01122018454302 21.00 
8.000 0.3500 3475. 4.92 -1.83 0.014791083881682 23.68 
8.000 0.4000 3523. 4.88 -1.71 0.01949844599758 26.33 
8.000 0.4500 3583. 4.84 -1.59 0.025703957827689 29.30 
8.000 0.5000 3652. 4.79 -1.46 0.034673685045253 32.74 
8.000 0.5700 3812. 4.72 -1.26 0.054954087385762 37.91 
8.000 0.6000 3905. 4.69 -1.16 0.069183097091894 40.15 
8.000 0.6200 3973. 4.68 -1.10 0.079432823472428 41.64 
8.000 0.7000 4266. 4.61 -0.86 0.13803842646029 47.95 
8.000 0.7500 4495. 4.57 -0.70 0.19952623149689 51.76 
8.000 0.8000 4696. 4.52 -0.55 0.28183829312645 56.50 
8.000 0.8500 4901. 4.47 -0.39 0.40738027780411 62.02 
8.000 0.9000 5116. 4.41 -0.23 0.58884365535559 68.41 
8.000 0.9500 5304. 4.32 -0.06 0.87096358995608 77.45 
8.000 1.0000 5433. 4.21 0.11 1.2882495516931 89.97 
