t m teff logg logL Lum R 
0.500 0.0120 759. 4.43 -5.45 3.5481338923358E-6 7.68 
0.500 0.0150 791. 4.56 -5.40 3.981071705535E-6 7.43 
0.500 0.0200 936. 4.70 -5.13 7.4131024130092E-6 7.25 
0.500 0.0300 1264. 4.91 -4.64 2.2908676527678E-5 7.04 
0.500 0.0400 1583. 5.04 -4.26 5.4954087385762E-5 6.96 
0.500 0.0500 1875. 5.13 -3.96 0.00010964781961432 7.01 
0.500 0.0600 2116. 5.19 -3.73 0.00018620871366629 7.13 
0.500 0.0700 2329. 5.23 -3.53 0.00029512092266664 7.37 
0.500 0.0720 2369. 5.24 -3.50 0.00031622776601684 7.43 
0.500 0.0750 2426. 5.24 -3.44 0.0003630780547701 7.53 
0.500 0.0800 2518. 5.25 -3.36 0.00043651583224017 7.74 
0.500 0.0900 2680. 5.24 -3.19 0.00064565422903466 8.28 
0.500 0.1000 2804. 5.22 -3.05 0.00089125093813375 8.91 
0.500 0.1100 2926. 5.21 -2.92 0.0012022644346174 9.50 
0.500 0.1300 3055. 5.17 -2.73 0.0018620871366629 10.84 
0.500 0.1500 3149. 5.13 -2.58 0.0026302679918954 12.10 
0.500 0.1750 3234. 5.10 -2.43 0.0037153522909717 13.60 
0.500 0.2000 3290. 5.07 -2.32 0.0047863009232264 15.02 
0.500 0.2500 3373. 5.03 -2.13 0.0074131024130092 17.67 
0.500 0.3000 3437. 4.99 -1.99 0.010232929922808 20.12 
0.500 0.3500 3478. 4.95 -1.86 0.013803842646029 22.81 
0.500 0.4000 3526. 4.91 -1.74 0.0181970085861 25.50 
0.500 0.4500 3587. 4.87 -1.61 0.02454708915685 28.50 
0.500 0.5000 3653. 4.81 -1.48 0.033113112148259 31.89 
0.500 0.5700 3799. 4.75 -1.29 0.051286138399136 36.88 
0.500 0.6000 3885. 4.72 -1.20 0.063095734448019 39.00 
0.500 0.6200 3948. 4.70 -1.14 0.072443596007499 40.39 
0.500 0.7000 4211. 4.64 -0.91 0.12302687708124 46.15 
0.500 0.7500 4418. 4.61 -0.77 0.16982436524617 49.26 
0.500 0.8000 4600. 4.58 -0.64 0.22908676527678 52.82 
0.500 0.8500 4773. 4.54 -0.52 0.3019951720402 56.72 
0.500 0.9000 4951. 4.51 -0.39 0.40738027780411 60.58 
0.500 0.9500 5130. 4.48 -0.28 0.52480746024977 64.60 
0.500 1.0000 5294. 4.45 -0.17 0.67608297539198 68.91 
0.500 1.0500 5446. 4.41 -0.06 0.87096358995608 73.68 
0.500 1.1000 5595. 4.37 0.04 1.0964781961432 78.70 
0.500 1.1500 5745. 4.34 0.14 1.3803842646029 83.54 
0.500 1.2000 5909. 4.31 0.24 1.7378008287494 88.35 
0.500 1.3000 6227. 4.27 0.41 2.5703957827689 96.75 
0.500 1.4000 6613. 4.24 0.57 3.7153522909717 102.80 
