t m teff logg logL Lum R 
7.000 0.0400 688. 5.19 -5.85 1.4125375446228E-6 5.86 
7.000 0.0500 847. 5.33 -5.53 2.9512092266664E-6 5.60 
7.000 0.0600 1029. 5.43 -5.22 6.0255958607436E-6 5.41 
7.000 0.0700 1411. 5.48 -4.66 2.1877616239496E-5 5.52 
7.000 0.0720 1632. 5.47 -4.38 4.1686938347034E-5 5.70 
7.000 0.0750 1998. 5.41 -3.95 0.0001122018454302 6.20 
7.000 0.0800 2321. 5.35 -3.60 0.00025118864315096 6.86 
7.000 0.0900 2623. 5.29 -3.27 0.00053703179637025 7.84 
7.000 0.1000 2785. 5.25 -3.08 0.00083176377110267 8.67 
7.000 0.1100 2921. 5.22 -2.93 0.0011748975549395 9.39 
7.000 0.1300 3056. 5.17 -2.73 0.0018620871366629 10.81 
7.000 0.1500 3151. 5.13 -2.58 0.0026302679918954 12.11 
7.000 0.1750 3236. 5.10 -2.43 0.0037153522909717 13.64 
7.000 0.2000 3293. 5.06 -2.31 0.0048977881936845 15.14 
7.000 0.2500 3378. 5.01 -2.11 0.0077624711662869 18.08 
7.000 0.3000 3436. 4.96 -1.95 0.01122018454302 20.93 
7.000 0.3500 3475. 4.92 -1.83 0.014791083881682 23.59 
7.000 0.4000 3523. 4.89 -1.71 0.01949844599758 26.29 
7.000 0.4500 3583. 4.84 -1.59 0.025703957827689 29.26 
7.000 0.5000 3651. 4.79 -1.46 0.034673685045253 32.67 
7.000 0.5700 3810. 4.72 -1.26 0.054954087385762 37.81 
7.000 0.6000 3900. 4.70 -1.17 0.067608297539198 40.04 
7.000 0.6200 3968. 4.68 -1.11 0.077624711662869 41.51 
7.000 0.7000 4257. 4.61 -0.86 0.13803842646029 47.74 
7.000 0.7500 4483. 4.58 -0.71 0.1949844599758 51.42 
7.000 0.8000 4682. 4.53 -0.56 0.27542287033382 55.94 
7.000 0.8500 4881. 4.48 -0.41 0.38904514499428 61.15 
7.000 0.9000 5091. 4.42 -0.26 0.54954087385762 67.02 
7.000 0.9500 5281. 4.35 -0.10 0.79432823472428 74.73 
7.000 1.0000 5439. 4.26 0.06 1.1481536214969 85.06 
7.000 1.0500 5518. 4.16 0.22 1.6595869074376 98.66 
