t m teff logg logL Lum 
0.006 0.0010 614. 3.15 -5.62 2.3988329190195E-6 
0.006 0.0020 860. 3.44 -5.02 9.5499258602144E-6 
0.006 0.0030 1050. 3.59 -4.65 2.2387211385683E-5 
0.006 0.0040 1213. 3.69 -4.37 4.2657951880159E-5 
0.006 0.0050 1354. 3.77 -4.16 6.9183097091894E-5 
0.006 0.0060 1483. 3.83 -3.98 0.00010471285480509 
0.006 0.0070 1607. 3.87 -3.82 0.00015135612484362 
0.006 0.0080 1718. 3.90 -3.68 0.0002089296130854 
0.006 0.0090 1818. 3.93 -3.56 0.00027542287033382 
0.006 0.0100 1910. 3.96 -3.45 0.00035481338923358 
0.006 0.0120 2057. 3.98 -3.27 0.00053703179637025 
0.006 0.0150 2238. 3.99 -3.03 0.00093325430079699 
0.006 0.0200 2449. 3.92 -2.68 0.002089296130854 
0.006 0.0300 2619. 3.81 -2.28 0.0052480746024977 
0.006 0.0400 2759. 3.91 -2.16 0.0069183097091894 
0.006 0.0500 2818. 3.83 -1.95 0.01122018454302 
0.006 0.0600 2890. 3.98 -1.98 0.010471285480509 
0.006 0.0700 2935. 4.00 -1.90 0.012589254117942 
0.006 0.0720 2942. 4.00 -1.88 0.013182567385564 
0.006 0.0750 2933. 3.93 -1.80 0.015848931924611 
0.006 0.0800 2970. 4.00 -1.82 0.015135612484362 
0.006 0.0900 2999. 4.00 -1.75 0.017782794100389 
0.006 0.1000 3006. 3.95 -1.65 0.022387211385683 
0.006 0.1100 3105. 4.04 -1.65 0.022387211385683 
0.006 0.1300 3143. 4.04 -1.55 0.028183829312645 
0.006 0.1500 3178. 4.04 -1.47 0.03388441561392 
0.006 0.1750 3211. 4.04 -1.38 0.041686938347034 
0.006 0.2000 3236. 4.03 -1.31 0.048977881936845 
0.006 0.2500 3292. 4.04 -1.18 0.06606934480076 
0.006 0.3000 3345. 4.04 -1.08 0.083176377110267 
0.006 0.3500 3399. 4.04 -0.98 0.10471285480509 
0.006 0.4000 3454. 4.04 -0.90 0.12589254117942 
0.006 0.4500 3499. 4.03 -0.82 0.15135612484362 
0.006 0.5000 3545. 4.04 -0.76 0.17378008287494 
0.006 0.5700 3596. 4.04 -0.68 0.2089296130854 
0.006 0.6000 3619. 4.04 -0.64 0.22908676527678 
0.006 0.6200 3635. 4.04 -0.62 0.23988329190195 
0.006 0.7000 3689. 4.04 -0.55 0.28183829312645 
0.006 0.7500 3726. 4.05 -0.50 0.31622776601684 
0.006 0.8000 3762. 4.05 -0.46 0.34673685045253 
0.006 0.8500 3794. 4.05 -0.42 0.38018939632056 
0.006 0.9000 3834. 4.06 -0.38 0.41686938347034 
0.006 0.9500 3871. 4.05 -0.34 0.45708818961488 
0.006 1.0000 3919. 4.05 -0.30 0.50118723362727 
0.006 1.0500 4004. 4.06 -0.24 0.57543993733716 
0.006 1.1000 4051. 4.06 -0.20 0.63095734448019 
0.006 1.1500 4100. 4.06 -0.17 0.67608297539198 
0.006 1.2000 4147. 4.06 -0.13 0.74131024130092 
0.006 1.3000 4248. 4.06 -0.05 0.89125093813375 
0.006 1.4000 4358. 4.05 0.04 1.0964781961432 
