t m teff logg logL Lum 
0.060 0.0040 639. 3.85 -5.64 2.2908676527678E-6
0.060 0.0050 722. 3.94 -5.42 3.8018939632056E-6
0.060 0.0060 798. 4.02 -5.25 5.6234132519035E-6
0.060 0.0070 879. 4.09 -5.08 8.3176377110267E-6
0.060 0.0080 960. 4.15 -4.93 1.1748975549395E-5
0.060 0.0090 1037. 4.20 -4.80 1.5848931924611E-5
0.060 0.0100 1118. 4.24 -4.66 2.1877616239496E-5
0.060 0.0120 1475. 4.26 -4.12 7.5857757502918E-5
0.060 0.0150 1754. 4.31 -3.77 0.00016982436524617
0.060 0.0200 1814. 4.49 -3.77 0.00016982436524617
0.060 0.0300 2180. 4.62 -3.40 0.0003981071705535
0.060 0.0400 2434. 4.68 -3.15 0.00070794578438414
0.060 0.0500 2618. 4.71 -2.95 0.001122018454302
0.060 0.0600 2737. 4.73 -2.82 0.0015135612484362
0.060 0.0700 2823. 4.74 -2.70 0.0019952623149689
0.060 0.0720 2837. 4.74 -2.69 0.0020417379446695
0.060 0.0750 2858. 4.74 -2.65 0.0022387211385683
0.060 0.0800 2888. 4.74 -2.61 0.002454708915685
0.060 0.0900 2940. 4.74 -2.53 0.0029512092266664
0.060 0.1000 2983. 4.74 -2.45 0.0035481338923358
0.060 0.1100 3085. 4.77 -2.39 0.0040738027780411
0.060 0.1300 3154. 4.77 -2.27 0.0053703179637025
0.060 0.1500 3208. 4.76 -2.18 0.006606934480076
0.060 0.1750 3258. 4.76 -2.08 0.0083176377110267
0.060 0.2000 3303. 4.75 -1.99 0.010232929922808
0.060 0.2500 3364. 4.74 -1.85 0.014125375446228
0.060 0.3000 3415. 4.74 -1.74 0.0181970085861
0.060 0.3500 3460. 4.73 -1.64 0.022908676527678
0.060 0.4000 3506. 4.71 -1.55 0.028183829312645
0.060 0.4500 3546. 4.70 -1.47 0.03388441561392
0.060 0.5000 3593. 4.68 -1.38 0.041686938347034
0.060 0.5700 3699. 4.65 -1.24 0.057543993733716
0.060 0.6000 3771. 4.63 -1.16 0.069183097091894
0.060 0.6200 3826. 4.62 -1.11 0.077624711662869
0.060 0.7000 4135. 4.56 -0.86 0.13803842646029
0.060 0.7500 4449. 4.53 -0.67 0.21379620895022
0.060 0.8000 4717. 4.51 -0.53 0.29512092266664
0.060 0.8500 4833. 4.53 -0.48 0.33113112148259
0.060 0.9000 4940. 4.53 -0.41 0.38904514499428
0.060 0.9500 5112. 4.49 -0.30 0.50118723362727
0.060 1.0000 5266. 4.46 -0.19 0.64565422903466
0.060 1.0500 5395. 4.43 -0.09 0.8128305161641
0.060 1.1000 5530. 4.39 0.01 1.0232929922808
0.060 1.1500 5682. 4.36 0.11 1.2882495516931
0.060 1.2000 5844. 4.33 0.20 1.5848931924611
0.060 1.3000 6212. 4.29 0.38 2.3988329190195
0.060 1.4000 6631. 4.28 0.54 3.4673685045253
