t m teff logg logL Lum R 
5.000 0.0300 610. 5.01 -6.01 9.7723722095581E-7 6.23 
5.000 0.0400 760. 5.18 -5.67 2.1379620895022E-6 5.93 
5.000 0.0500 931. 5.31 -5.35 4.4668359215096E-6 5.68 
5.000 0.0600 1120. 5.42 -5.06 8.7096358995608E-6 5.52 
5.000 0.0700 1524. 5.47 -4.50 3.1622776601684E-5 5.64 
5.000 0.0720 1712. 5.45 -4.28 5.2480746024977E-5 5.80 
5.000 0.0750 2006. 5.41 -3.94 0.00011481536214969 6.21 
5.000 0.0800 2320. 5.35 -3.60 0.00025118864315096 6.86 
5.000 0.0900 2622. 5.29 -3.28 0.00052480746024977 7.84 
5.000 0.1000 2785. 5.25 -3.08 0.00083176377110267 8.67 
5.000 0.1100 2921. 5.22 -2.93 0.0011748975549395 9.39 
5.000 0.1300 3055. 5.17 -2.73 0.0018620871366629 10.81 
5.000 0.1500 3151. 5.13 -2.58 0.0026302679918954 12.10 
5.000 0.1750 3235. 5.10 -2.43 0.0037153522909717 13.62 
5.000 0.2000 3292. 5.07 -2.31 0.0048977881936845 15.09 
5.000 0.2500 3376. 5.01 -2.12 0.0075857757502918 17.95 
5.000 0.3000 3436. 4.97 -1.96 0.010964781961432 20.74 
5.000 0.3500 3475. 4.93 -1.84 0.014454397707459 23.38 
5.000 0.4000 3522. 4.89 -1.71 0.01949844599758 26.20 
5.000 0.4500 3582. 4.85 -1.59 0.025703957827689 29.14 
5.000 0.5000 3649. 4.80 -1.46 0.034673685045253 32.53 
5.000 0.5700 3804. 4.73 -1.27 0.053703179637025 37.62 
5.000 0.6000 3893. 4.70 -1.18 0.06606934480076 39.81 
5.000 0.6200 3960. 4.68 -1.12 0.075857757502918 41.24 
5.000 0.7000 4239. 4.62 -0.88 0.13182567385564 47.32 
5.000 0.7500 4460. 4.59 -0.73 0.18620871366629 50.79 
5.000 0.8000 4654. 4.55 -0.59 0.25703957827689 54.95 
5.000 0.8500 4843. 4.50 -0.45 0.35481338923358 59.68 
5.000 0.9000 5043. 4.46 -0.31 0.48977881936845 64.64 
5.000 0.9500 5234. 4.40 -0.17 0.67608297539198 70.61 
5.000 1.0000 5399. 4.34 -0.03 0.93325430079699 77.93 
5.000 1.0500 5551. 4.27 0.12 1.3182567385564 86.90 
5.000 1.1000 5665. 4.19 0.25 1.7782794100389 97.29 
5.000 1.1500 5632. 4.10 0.34 2.1877616239496 109.62 
