t m teff logg logL Lum 
0.090 0.0050 645. 3.96 -5.64 2.2908676527678E-6
0.090 0.0060 712. 4.04 -5.47 3.388441561392E-6
0.090 0.0070 777. 4.11 -5.32 4.7863009232264E-6
0.090 0.0080 841. 4.17 -5.19 6.4565422903465E-6
0.090 0.0090 911. 4.23 -5.05 8.9125093813375E-6
0.090 0.0100 989. 4.27 -4.91 1.2302687708124E-5
0.090 0.0120 1366. 4.29 -4.28 5.2480746024977E-5
0.090 0.0150 1460. 4.41 -4.19 6.4565422903465E-5
0.090 0.0200 1615. 4.55 -4.04 9.1201083935591E-5
0.090 0.0300 2023. 4.70 -3.61 0.0002454708915685
0.090 0.0400 2311. 4.77 -3.33 0.0004677351412872
0.090 0.0500 2521. 4.81 -3.12 0.00075857757502918
0.090 0.0600 2669. 4.84 -2.97 0.0010715193052376
0.090 0.0700 2778. 4.85 -2.84 0.0014454397707459
0.090 0.0720 2796. 4.85 -2.82 0.0015135612484362
0.090 0.0750 2821. 4.85 -2.79 0.0016218100973589
0.090 0.0800 2856. 4.85 -2.74 0.00181970085861
0.090 0.0900 2917. 4.85 -2.66 0.0021877616239496
0.090 0.1000 2966. 4.86 -2.58 0.0026302679918954
0.090 0.1100 3059. 4.88 -2.51 0.0030902954325136
0.090 0.1300 3135. 4.88 -2.40 0.003981071705535
0.090 0.1500 3202. 4.88 -2.30 0.0050118723362727
0.090 0.1750 3254. 4.87 -2.20 0.0063095734448019
0.090 0.2000 3300. 4.87 -2.11 0.0077624711662869
0.090 0.2500 3371. 4.86 -1.96 0.010964781961432
0.090 0.3000 3421. 4.85 -1.85 0.014125375446228
0.090 0.3500 3468. 4.83 -1.74 0.0181970085861
0.090 0.4000 3520. 4.81 -1.64 0.022908676527678
0.090 0.4500 3574. 4.78 -1.53 0.029512092266664
0.090 0.5000 3641. 4.75 -1.42 0.038018939632056
0.090 0.5700 3824. 4.69 -1.22 0.060255958607436
0.090 0.6000 3947. 4.67 -1.12 0.075857757502918
0.090 0.6200 4040. 4.65 -1.05 0.089125093813375
0.090 0.7000 4296. 4.64 -0.88 0.13182567385564
0.090 0.7500 4433. 4.63 -0.78 0.16595869074376
0.090 0.8000 4603. 4.59 -0.65 0.22387211385683
0.090 0.8500 4770. 4.56 -0.53 0.29512092266664
0.090 0.9000 4948. 4.52 -0.41 0.38904514499428
0.090 0.9500 5116. 4.49 -0.29 0.51286138399136
0.090 1.0000 5263. 4.46 -0.19 0.64565422903466
0.090 1.0500 5411. 4.42 -0.08 0.83176377110267
0.090 1.1000 5560. 4.39 0.02 1.0471285480509
0.090 1.1500 5713. 4.35 0.12 1.3182567385564
0.090 1.2000 5882. 4.33 0.22 1.6595869074376
0.090 1.3000 6226. 4.29 0.39 2.454708915685
0.090 1.4000 6639. 4.28 0.54 3.4673685045253
