t m teff logg logL Lum 
0.100 0.0050 630. 3.97 -5.69 2.0417379446695E-6 
0.100 0.0060 688. 4.05 -5.53 2.9512092266664E-6 
0.100 0.0070 760. 4.12 -5.36 4.3651583224017E-6 
0.100 0.0080 816. 4.18 -5.25 5.6234132519035E-6 
0.100 0.0090 886. 4.23 -5.10 7.9432823472428E-6 
0.100 0.0100 953. 4.28 -4.98 1.0471285480509E-5 
0.100 0.0120 1335. 4.30 -4.33 4.677351412872E-5 
0.100 0.0150 1399. 4.42 -4.28 5.2480746024977E-5 
0.100 0.0200 1561. 4.57 -4.11 7.7624711662869E-5 
0.100 0.0300 1979. 4.72 -3.67 0.00021379620895022 
0.100 0.0400 2270. 4.80 -3.39 0.00040738027780411 
0.100 0.0500 2493. 4.84 -3.17 0.00067608297539198 
0.100 0.0600 2648. 4.86 -3.01 0.00097723722095581 
0.100 0.0700 2762. 4.87 -2.88 0.0013182567385564 
0.100 0.0720 2782. 4.88 -2.86 0.0013803842646029 
0.100 0.0750 2809. 4.87 -2.82 0.0015135612484362 
0.100 0.0800 2846. 4.88 -2.78 0.0016595869074376 
0.100 0.0900 2910. 4.88 -2.69 0.0020417379446695 
0.100 0.1000 2960. 4.89 -2.62 0.0023988329190195 
0.100 0.1100 3051. 4.91 -2.55 0.0028183829312645 
0.100 0.1300 3129. 4.91 -2.43 0.0037153522909717 
0.100 0.1500 3199. 4.91 -2.33 0.004677351412872 
0.100 0.1750 3253. 4.90 -2.23 0.0058884365535559 
0.100 0.2000 3299. 4.90 -2.14 0.0072443596007499 
0.100 0.2500 3372. 4.88 -1.99 0.010232929922808 
0.100 0.3000 3424. 4.87 -1.87 0.013489628825917 
0.100 0.3500 3471. 4.86 -1.77 0.016982436524617 
0.100 0.4000 3525. 4.83 -1.66 0.021877616239496 
0.100 0.4500 3583. 4.80 -1.55 0.028183829312645 
0.100 0.5000 3658. 4.77 -1.43 0.037153522909717 
0.100 0.5700 3864. 4.70 -1.22 0.060255958607436 
0.100 0.6000 3987. 4.68 -1.12 0.075857757502918 
0.100 0.6200 4063. 4.67 -1.06 0.087096358995608 
0.100 0.7000 4246. 4.65 -0.91 0.12302687708124 
0.100 0.7500 4426. 4.63 -0.78 0.16595869074376 
0.100 0.8000 4603. 4.59 -0.65 0.22387211385683 
0.100 0.8500 4771. 4.56 -0.53 0.29512092266664 
0.100 0.9000 4950. 4.52 -0.41 0.38904514499428 
0.100 0.9500 5116. 4.49 -0.29 0.51286138399136 
0.100 1.0000 5265. 4.46 -0.19 0.64565422903466 
0.100 1.0500 5420. 4.42 -0.08 0.83176377110267 
0.100 1.1000 5568. 4.39 0.02 1.0471285480509 
0.100 1.1500 5721. 4.35 0.12 1.3182567385564 
0.100 1.2000 5882. 4.33 0.22 1.6595869074376 
0.100 1.3000 6229. 4.29 0.39 2.454708915685 
0.100 1.4000 6640. 4.28 0.54 3.4673685045253 
