t m teff logg logL Lum 
0.020 0.0020 614. 3.51 -5.67 2.1379620895022E-6
0.020 0.0030 753. 3.68 -5.31 4.8977881936845E-6
0.020 0.0040 877. 3.79 -5.03 9.3325430079699E-6
0.020 0.0050 991. 3.88 -4.81 1.5488166189125E-5
0.020 0.0060 1100. 3.95 -4.62 2.3988329190195E-5
0.020 0.0070 1195. 4.01 -4.47 3.388441561392E-5
0.020 0.0080 1293. 4.06 -4.32 4.7863009232264E-5
0.020 0.0090 1386. 4.10 -4.20 6.3095734448019E-5
0.020 0.0100 1483. 4.14 -4.07 8.5113803820238E-5
0.020 0.0120 1714. 4.17 -3.77 0.00016982436524617
0.020 0.0150 2149. 4.08 -3.19 0.00064565422903466
0.020 0.0200 2362. 4.10 -2.93 0.0011748975549395
0.020 0.0300 2506. 4.31 -2.85 0.0014125375446228
0.020 0.0400 2649. 4.39 -2.71 0.001949844599758
0.020 0.0500 2766. 4.39 -2.53 0.0029512092266664
0.020 0.0600 2833. 4.42 -2.44 0.003630780547701
0.020 0.0700 2891. 4.42 -2.34 0.0045708818961488
0.020 0.0720 2901. 4.42 -2.33 0.004677351412872
0.020 0.0750 2917. 4.40 -2.28 0.0052480746024977
0.020 0.0800 2936. 4.42 -2.26 0.0054954087385762
0.020 0.0900 2972. 4.42 -2.18 0.006606934480076
0.020 0.1000 3012. 4.40 -2.10 0.0079432823472428
0.020 0.1100 3121. 4.44 -2.04 0.0091201083935591
0.020 0.1300 3171. 4.43 -1.93 0.011748975549395
0.020 0.1500 3209. 4.43 -1.85 0.014125375446228
0.020 0.1750 3244. 4.42 -1.75 0.017782794100389
0.020 0.2000 3279. 4.42 -1.67 0.021379620895022
0.020 0.2500 3336. 4.41 -1.53 0.029512092266664
0.020 0.3000 3381. 4.40 -1.42 0.038018939632056
0.020 0.3500 3422. 4.40 -1.33 0.04677351412872
0.020 0.4000 3464. 4.40 -1.25 0.056234132519035
0.020 0.4500 3510. 4.40 -1.18 0.06606934480076
0.020 0.5000 3554. 4.39 -1.11 0.077624711662869
0.020 0.5700 3618. 4.39 -1.02 0.095499258602144
0.020 0.6000 3648. 4.39 -0.98 0.10471285480509
0.020 0.6200 3667. 4.39 -0.96 0.10964781961432
0.020 0.7000 3750. 4.38 -0.86 0.13803842646029
0.020 0.7500 3801. 4.38 -0.80 0.15848931924611
0.020 0.8000 3864. 4.37 -0.73 0.18620871366629
0.020 0.8500 3938. 4.36 -0.66 0.21877616239496
0.020 0.9000 4039. 4.35 -0.58 0.26302679918954
0.020 0.9500 4152. 4.33 -0.50 0.31622776601684
0.020 1.0000 4287. 4.32 -0.40 0.3981071705535
0.020 1.0500 4446. 4.29 -0.29 0.51286138399136
0.020 1.1000 4638. 4.26 -0.17 0.67608297539198
0.020 1.1500 4866. 4.21 -0.02 0.95499258602144
0.020 1.2000 5133. 4.15 0.16 1.4454397707459
0.020 1.3000 5844. 4.05 0.52 3.3113112148259
0.020 1.4000 6255. 4.25 0.47 2.9512092266664
