t m teff logg logL Lum R 
0.600 0.0120 714. 4.44 -5.56 2.7542287033382E-6 7.59 
0.600 0.0150 754. 4.57 -5.50 3.1622776601684E-6 7.36 
0.600 0.0200 891. 4.71 -5.23 5.8884365535559E-6 7.18 
0.600 0.0300 1182. 4.92 -4.77 1.6982436524617E-5 6.93 
0.600 0.0400 1498. 5.06 -4.37 4.2657951880159E-5 6.81 
0.600 0.0500 1783. 5.15 -4.07 8.5113803820238E-5 6.81 
0.600 0.0600 2038. 5.22 -3.82 0.00015135612484362 6.91 
0.600 0.0700 2261. 5.26 -3.62 0.00023988329190195 7.11 
0.600 0.0720 2309. 5.27 -3.57 0.00026915348039269 7.19 
0.600 0.0750 2375. 5.27 -3.51 0.00030902954325136 7.31 
0.600 0.0800 2473. 5.28 -3.41 0.00038904514499428 7.50 
0.600 0.0900 2659. 5.26 -3.22 0.00060255958607436 8.11 
0.600 0.1000 2794. 5.24 -3.07 0.00085113803820238 8.78 
0.600 0.1100 2922. 5.21 -2.93 0.0011748975549395 9.44 
0.600 0.1300 3054. 5.17 -2.73 0.0018620871366629 10.81 
0.600 0.1500 3149. 5.13 -2.58 0.0026302679918954 12.09 
0.600 0.1750 3234. 5.10 -2.43 0.0037153522909717 13.59 
0.600 0.2000 3290. 5.07 -2.32 0.0047863009232264 15.02 
0.600 0.2500 3373. 5.03 -2.13 0.0074131024130092 17.67 
0.600 0.3000 3437. 4.99 -1.99 0.010232929922808 20.12 
0.600 0.3500 3477. 4.95 -1.85 0.014125375446228 22.90 
0.600 0.4000 3525. 4.91 -1.73 0.018620871366629 25.59 
0.600 0.4500 3585. 4.86 -1.61 0.02454708915685 28.57 
0.600 0.5000 3651. 4.81 -1.48 0.033113112148259 31.94 
0.600 0.5700 3798. 4.74 -1.28 0.052480746024977 36.94 
0.600 0.6000 3885. 4.72 -1.20 0.063095734448019 39.06 
0.600 0.6200 3949. 4.70 -1.14 0.072443596007499 40.45 
0.600 0.7000 4210. 4.64 -0.91 0.12302687708124 46.21 
0.600 0.7500 4417. 4.61 -0.77 0.16982436524617 49.35 
0.600 0.8000 4600. 4.58 -0.64 0.22908676527678 52.89 
0.600 0.8500 4774. 4.54 -0.51 0.30902954325136 56.78 
0.600 0.9000 4952. 4.51 -0.39 0.40738027780411 60.71 
0.600 0.9500 5131. 4.48 -0.28 0.52480746024977 64.72 
0.600 1.0000 5297. 4.44 -0.16 0.69183097091894 69.05 
0.600 1.0500 5448. 4.41 -0.06 0.87096358995608 73.91 
0.600 1.1000 5596. 4.37 0.05 1.122018454302 78.97 
0.600 1.1500 5746. 4.34 0.15 1.4125375446228 83.86 
0.600 1.2000 5912. 4.31 0.25 1.7782794100389 88.79 
0.600 1.3000 6224. 4.26 0.42 2.6302679918954 97.57 
0.600 1.4000 6605. 4.24 0.57 3.7153522909717 103.74 
