t m teff logg logL Lum R 
0.900 0.0120 603. 4.46 -5.88 1.3182567385564E-6 7.42 
0.900 0.0150 659. 4.58 -5.75 1.7782794100389E-6 7.21 
0.900 0.0200 789. 4.73 -5.46 3.4673685045253E-6 7.01 
0.900 0.0300 1039. 4.94 -5.02 9.5499258602144E-6 6.74 
0.900 0.0400 1309. 5.09 -4.64 2.2908676527678E-5 6.55 
0.900 0.0500 1596. 5.20 -4.30 5.0118723362727E-5 6.47 
0.900 0.0600 1851. 5.28 -4.05 8.9125093813375E-5 6.48 
0.900 0.0700 2121. 5.32 -3.78 0.00016595869074376 6.67 
0.900 0.0720 2179. 5.32 -3.73 0.00018620871366629 6.75 
0.900 0.0750 2264. 5.32 -3.64 0.00022908676527678 6.89 
0.900 0.0800 2397. 5.32 -3.51 0.00030902954325136 7.16 
0.900 0.0900 2630. 5.28 -3.26 0.00054954087385762 7.90 
0.900 0.1000 2785. 5.25 -3.08 0.00083176377110267 8.68 
0.900 0.1100 2919. 5.22 -2.93 0.0011748975549395 9.39 
0.900 0.1300 3054. 5.17 -2.73 0.0018620871366629 10.80 
0.900 0.1500 3149. 5.13 -2.58 0.0026302679918954 12.09 
0.900 0.1750 3234. 5.10 -2.43 0.0037153522909717 13.59 
0.900 0.2000 3290. 5.07 -2.32 0.0047863009232264 15.02 
0.900 0.2500 3373. 5.03 -2.13 0.0074131024130092 17.68 
0.900 0.3000 3437. 4.99 -1.99 0.010232929922808 20.15 
0.900 0.3500 3479. 4.96 -1.86 0.013803842646029 22.69 
0.900 0.4000 3523. 4.90 -1.73 0.018620871366629 25.76 
0.900 0.4500 3583. 4.86 -1.61 0.02454708915685 28.69 
0.900 0.5000 3649. 4.81 -1.48 0.033113112148259 32.03 
0.900 0.5700 3798. 4.74 -1.28 0.052480746024977 37.03 
0.900 0.6000 3883. 4.72 -1.20 0.063095734448019 39.17 
0.900 0.6200 3947. 4.70 -1.14 0.072443596007499 40.56 
0.900 0.7000 4209. 4.64 -0.91 0.12302687708124 46.33 
0.900 0.7500 4418. 4.61 -0.77 0.16982436524617 49.48 
0.900 0.8000 4602. 4.58 -0.64 0.22908676527678 53.09 
0.900 0.8500 4776. 4.54 -0.51 0.30902954325136 57.04 
0.900 0.9000 4957. 4.51 -0.39 0.40738027780411 60.96 
0.900 0.9500 5136. 4.47 -0.27 0.53703179637025 65.07 
0.900 1.0000 5302. 4.44 -0.16 0.69183097091894 69.53 
0.900 1.0500 5454. 4.40 -0.05 0.89125093813375 74.58 
0.900 1.1000 5601. 4.36 0.06 1.1481536214969 79.75 
0.900 1.1500 5752. 4.33 0.16 1.4454397707459 84.95 
0.900 1.2000 5924. 4.29 0.26 1.81970085861 90.15 
0.900 1.3000 6216. 4.24 0.43 2.6915348039269 99.47 
0.900 1.4000 6564. 4.21 0.59 3.8904514499428 107.23 
