t m teff logg logL Lum 
0.070 0.0040 617. 3.85 -5.71 1.949844599758E-6
0.070 0.0050 690. 3.95 -5.51 3.0902954325136E-6
0.070 0.0060 764. 4.03 -5.33 4.677351412872E-6
0.070 0.0070 836. 4.10 -5.18 6.606934480076E-6
0.070 0.0080 909. 4.16 -5.04 9.1201083935591E-6
0.070 0.0090 989. 4.21 -4.89 1.2882495516931E-5
0.070 0.0100 1071. 4.25 -4.75 1.7782794100389E-5
0.070 0.0120 1436. 4.27 -4.18 6.606934480076E-5
0.070 0.0150 1627. 4.36 -3.95 0.0001122018454302
0.070 0.0200 1735. 4.52 -3.87 0.00013489628825917
0.070 0.0300 2115. 4.65 -3.49 0.00032359365692963
0.070 0.0400 2388. 4.72 -3.22 0.00060255958607436
0.070 0.0500 2583. 4.75 -3.02 0.00095499258602144
0.070 0.0600 2713. 4.77 -2.88 0.0013182567385564
0.070 0.0700 2809. 4.78 -2.75 0.0017782794100389
0.070 0.0720 2824. 4.78 -2.73 0.0018620871366629
0.070 0.0750 2846. 4.78 -2.70 0.0019952623149689
0.070 0.0800 2877. 4.78 -2.66 0.0021877616239496
0.070 0.0900 2933. 4.78 -2.58 0.0026302679918954
0.070 0.1000 2979. 4.78 -2.50 0.0031622776601684
0.070 0.1100 3075. 4.81 -2.44 0.003630780547701
0.070 0.1300 3147. 4.81 -2.32 0.0047863009232264
0.070 0.1500 3206. 4.81 -2.22 0.0060255958607436
0.070 0.1750 3256. 4.81 -2.13 0.0074131024130092
0.070 0.2000 3301. 4.80 -2.04 0.0091201083935591
0.070 0.2500 3367. 4.79 -1.90 0.012589254117942
0.070 0.3000 3417. 4.78 -1.78 0.016595869074376
0.070 0.3500 3463. 4.77 -1.68 0.02089296130854
0.070 0.4000 3511. 4.75 -1.59 0.025703957827689
0.070 0.4500 3555. 4.74 -1.49 0.032359365692963
0.070 0.5000 3608. 4.71 -1.40 0.03981071705535
0.070 0.5700 3741. 4.67 -1.24 0.057543993733716
0.070 0.6000 3828. 4.65 -1.15 0.070794578438414
0.070 0.6200 3899. 4.63 -1.09 0.08128305161641
0.070 0.7000 4292. 4.57 -0.81 0.15488166189125
0.070 0.7500 4553. 4.57 -0.68 0.2089296130854
0.070 0.8000 4656. 4.58 -0.62 0.23988329190195
0.070 0.8500 4772. 4.56 -0.53 0.29512092266664
0.070 0.9000 4942. 4.53 -0.41 0.38904514499428
0.070 0.9500 5116. 4.49 -0.30 0.50118723362727
0.070 1.0000 5263. 4.46 -0.19 0.64565422903466
0.070 1.0500 5396. 4.43 -0.09 0.8128305161641
0.070 1.1000 5539. 4.39 0.01 1.0232929922808
0.070 1.1500 5695. 4.35 0.11 1.2882495516931
0.070 1.2000 5868. 4.33 0.21 1.6218100973589
0.070 1.3000 6220. 4.29 0.39 2.454708915685
0.070 1.4000 6634. 4.28 0.54 3.4673685045253
