t m teff logg logL Lum R 
1.000 0.0150 628. 4.59 -5.84 1.4454397707459E-6 7.18 
1.000 0.0200 766. 4.74 -5.51 3.0902954325136E-6 6.98 
1.000 0.0300 1009. 4.95 -5.07 8.5113803820238E-6 6.70 
1.000 0.0400 1271. 5.10 -4.70 1.9952623149689E-5 6.50 
1.000 0.0500 1543. 5.21 -4.37 4.2657951880159E-5 6.39 
1.000 0.0600 1801. 5.29 -4.11 7.7624711662869E-5 6.38 
1.000 0.0700 2082. 5.33 -3.83 0.00014791083881682 6.57 
1.000 0.0720 2140. 5.34 -3.77 0.00016982436524617 6.64 
1.000 0.0750 2234. 5.33 -3.68 0.0002089296130854 6.79 
1.000 0.0800 2383. 5.32 -3.53 0.00029512092266664 7.10 
1.000 0.0900 2627. 5.28 -3.27 0.00053703179637025 7.87 
1.000 0.1000 2784. 5.25 -3.08 0.00083176377110267 8.67 
1.000 0.1100 2919. 5.22 -2.93 0.0011748975549395 9.39 
1.000 0.1300 3054. 5.17 -2.73 0.0018620871366629 10.80 
1.000 0.1500 3149. 5.13 -2.58 0.0026302679918954 12.09 
1.000 0.1750 3234. 5.10 -2.43 0.0037153522909717 13.59 
1.000 0.2000 3290. 5.07 -2.32 0.0047863009232264 15.02 
1.000 0.2500 3374. 5.03 -2.13 0.0074131024130092 17.67 
1.000 0.3000 3437. 4.99 -1.98 0.010471285480509 20.16 
1.000 0.3500 3478. 4.95 -1.86 0.013803842646029 22.82 
1.000 0.4000 3522. 4.90 -1.73 0.018620871366629 25.81 
1.000 0.4500 3583. 4.86 -1.61 0.02454708915685 28.71 
1.000 0.5000 3649. 4.81 -1.48 0.033113112148259 32.05 
1.000 0.5700 3798. 4.74 -1.28 0.052480746024977 37.07 
1.000 0.6000 3883. 4.71 -1.20 0.063095734448019 39.19 
1.000 0.6200 3946. 4.70 -1.14 0.072443596007499 40.60 
1.000 0.7000 4209. 4.64 -0.91 0.12302687708124 46.37 
1.000 0.7500 4418. 4.61 -0.77 0.16982436524617 49.53 
1.000 0.8000 4603. 4.58 -0.64 0.22908676527678 53.14 
1.000 0.8500 4777. 4.54 -0.51 0.30902954325136 57.10 
1.000 0.9000 4958. 4.51 -0.39 0.40738027780411 61.05 
1.000 0.9500 5138. 4.47 -0.27 0.53703179637025 65.18 
1.000 1.0000 5304. 4.44 -0.15 0.70794578438414 69.74 
1.000 1.0500 5456. 4.40 -0.04 0.91201083935591 74.78 
1.000 1.1000 5604. 4.36 0.06 1.1481536214969 80.00 
1.000 1.1500 5754. 4.32 0.16 1.4454397707459 85.26 
1.000 1.2000 5928. 4.29 0.27 1.8620871366629 90.59 
1.000 1.3000 6213. 4.24 0.44 2.7542287033382 100.17 
1.000 1.4000 6554. 4.20 0.60 3.981071705535 108.33 
