t m teff logg logL Lum R 
4.000 0.0300 652. 5.00 -5.89 1.2882495516931E-6 6.28 
4.000 0.0400 820. 5.17 -5.53 2.9512092266664E-6 5.98 
4.000 0.0500 994. 5.30 -5.23 5.8884365535559E-6 5.75 
4.000 0.0600 1190. 5.41 -4.94 1.1481536214969E-5 5.60 
4.000 0.0700 1603. 5.45 -4.40 3.981071705535E-5 5.73 
4.000 0.0720 1766. 5.44 -4.21 6.1659500186148E-5 5.88 
4.000 0.0750 2017. 5.41 -3.93 0.00011748975549395 6.24 
4.000 0.0800 2320. 5.35 -3.60 0.00025118864315096 6.86 
4.000 0.0900 2622. 5.29 -3.28 0.00052480746024977 7.84 
4.000 0.1000 2784. 5.25 -3.08 0.00083176377110267 8.67 
4.000 0.1100 2920. 5.22 -2.93 0.0011748975549395 9.39 
4.000 0.1300 3054. 5.17 -2.73 0.0018620871366629 10.81 
4.000 0.1500 3151. 5.13 -2.58 0.0026302679918954 12.09 
4.000 0.1750 3235. 5.10 -2.43 0.0037153522909717 13.61 
4.000 0.2000 3292. 5.07 -2.31 0.0048977881936845 15.06 
4.000 0.2500 3375. 5.02 -2.12 0.0075857757502918 17.87 
4.000 0.3000 3436. 4.97 -1.97 0.010715193052376 20.61 
4.000 0.3500 3476. 4.94 -1.84 0.014454397707459 23.22 
4.000 0.4000 3522. 4.89 -1.72 0.019054607179632 26.12 
4.000 0.4500 3581. 4.85 -1.60 0.025118864315096 29.08 
4.000 0.5000 3648. 4.80 -1.47 0.03388441561392 32.45 
4.000 0.5700 3801. 4.73 -1.27 0.053703179637025 37.51 
4.000 0.6000 3890. 4.70 -1.18 0.06606934480076 39.68 
4.000 0.6200 3955. 4.69 -1.12 0.075857757502918 41.12 
4.000 0.7000 4231. 4.62 -0.89 0.12882495516931 47.10 
4.000 0.7500 4448. 4.59 -0.74 0.181970085861 50.49 
4.000 0.8000 4641. 4.55 -0.60 0.25118864315096 54.48 
4.000 0.8500 4825. 4.51 -0.46 0.34673685045253 59.02 
4.000 0.9000 5021. 4.47 -0.33 0.4677351412872 63.64 
4.000 0.9500 5210. 4.42 -0.19 0.64565422903466 68.97 
4.000 1.0000 5375. 4.37 -0.06 0.87096358995608 75.42 
4.000 1.0500 5528. 4.31 0.07 1.1748975549395 82.86 
4.000 1.1000 5675. 4.24 0.20 1.5848931924611 91.25 
4.000 1.1500 5782. 4.18 0.32 2.089296130854 100.65 
4.000 1.2000 5677. 4.07 0.41 2.5703957827689 116.76 
