t m teff logg logL Lum 
0.080 0.0050 668. 3.96 -5.57 2.6915348039269E-6
0.080 0.0060 738. 4.04 -5.40 3.981071705535E-6
0.080 0.0070 801. 4.11 -5.26 5.4954087385762E-6
0.080 0.0080 875. 4.17 -5.11 7.7624711662869E-6
0.080 0.0090 946. 4.22 -4.98 1.0471285480509E-5
0.080 0.0100 1022. 4.27 -4.84 1.4454397707459E-5
0.080 0.0120 1397. 4.28 -4.24 5.7543993733716E-5
0.080 0.0150 1536. 4.38 -4.08 8.3176377110267E-5
0.080 0.0200 1671. 4.54 -3.96 0.00010964781961432
0.080 0.0300 2066. 4.68 -3.55 0.00028183829312645
0.080 0.0400 2349. 4.75 -3.28 0.00052480746024977
0.080 0.0500 2552. 4.78 -3.07 0.00085113803820238
0.080 0.0600 2691. 4.81 -2.92 0.0012022644346174
0.080 0.0700 2792. 4.82 -2.80 0.0015848931924611
0.080 0.0720 2809. 4.82 -2.78 0.0016595869074376
0.080 0.0750 2833. 4.81 -2.75 0.0017782794100389
0.080 0.0800 2867. 4.82 -2.70 0.0019952623149689
0.080 0.0900 2925. 4.82 -2.62 0.0023988329190195
0.080 0.1000 2973. 4.82 -2.54 0.0028840315031266
0.080 0.1100 3067. 4.85 -2.48 0.0033113112148259
0.080 0.1300 3141. 4.85 -2.36 0.0043651583224017
0.080 0.1500 3204. 4.85 -2.27 0.0053703179637025
0.080 0.1750 3255. 4.84 -2.17 0.0067608297539198
0.080 0.2000 3301. 4.84 -2.08 0.0083176377110267
0.080 0.2500 3370. 4.82 -1.93 0.011748975549395
0.080 0.3000 3418. 4.81 -1.82 0.015135612484362
0.080 0.3500 3466. 4.80 -1.71 0.01949844599758
0.080 0.4000 3516. 4.79 -1.62 0.023988329190195
0.080 0.4500 3565. 4.76 -1.52 0.03019951720402
0.080 0.5000 3627. 4.74 -1.41 0.038904514499428
0.080 0.5700 3784. 4.68 -1.23 0.058884365535559
0.080 0.6000 3891. 4.66 -1.14 0.072443596007499
0.080 0.6200 3978. 4.64 -1.07 0.085113803820238
0.080 0.7000 4351. 4.60 -0.81 0.15488166189125
0.080 0.7500 4478. 4.61 -0.75 0.17782794100389
0.080 0.8000 4605. 4.59 -0.65 0.22387211385683
0.080 0.8500 4769. 4.56 -0.53 0.29512092266664
0.080 0.9000 4945. 4.52 -0.41 0.38904514499428
0.080 0.9500 5117. 4.49 -0.29 0.51286138399136
0.080 1.0000 5261. 4.46 -0.19 0.64565422903466
0.080 1.0500 5405. 4.42 -0.09 0.8128305161641
0.080 1.1000 5550. 4.39 0.01 1.0232929922808
0.080 1.1500 5706. 4.35 0.12 1.3182567385564
0.080 1.2000 5876. 4.33 0.21 1.6218100973589
0.080 1.3000 6223. 4.29 0.39 2.454708915685
0.080 1.4000 6637. 4.28 0.54 3.4673685045253
