t m teff logg logL Lum R 
0.400 0.0100 647. 4.35 -5.72 1.9054607179632E-6 7.71 
0.400 0.0120 819. 4.42 -5.30 5.0118723362727E-6 7.81 
0.400 0.0150 844. 4.55 -5.28 5.2480746024977E-6 7.52 
0.400 0.0200 999. 4.69 -5.01 9.7723722095581E-6 7.35 
0.400 0.0300 1363. 4.89 -4.49 3.2359365692963E-5 7.18 
0.400 0.0400 1683. 5.02 -4.12 7.5857757502918E-5 7.16 
0.400 0.0500 1979. 5.10 -3.83 0.00014791083881682 7.26 
0.400 0.0600 2208. 5.16 -3.62 0.00023988329190195 7.45 
0.400 0.0700 2403. 5.20 -3.44 0.0003630780547701 7.69 
0.400 0.0720 2441. 5.20 -3.41 0.00038904514499428 7.77 
0.400 0.0750 2493. 5.20 -3.36 0.00043651583224017 7.88 
0.400 0.0800 2578. 5.21 -3.28 0.00052480746024977 8.10 
0.400 0.0900 2713. 5.21 -3.14 0.00072443596007499 8.58 
0.400 0.1000 2822. 5.20 -3.01 0.00097723722095581 9.15 
0.400 0.1100 2934. 5.20 -2.90 0.0012589254117942 9.65 
0.400 0.1300 3057. 5.16 -2.72 0.0019054607179632 10.92 
0.400 0.1500 3150. 5.13 -2.58 0.0026302679918954 12.15 
0.400 0.1750 3234. 5.10 -2.43 0.0037153522909717 13.62 
0.400 0.2000 3290. 5.07 -2.32 0.0047863009232264 15.03 
0.400 0.2500 3373. 5.03 -2.13 0.0074131024130092 17.67 
0.400 0.3000 3437. 4.99 -1.99 0.010232929922808 20.12 
0.400 0.3500 3479. 4.95 -1.86 0.013803842646029 22.71 
0.400 0.4000 3529. 4.92 -1.74 0.0181970085861 25.38 
0.400 0.4500 3589. 4.87 -1.61 0.02454708915685 28.41 
0.400 0.5000 3654. 4.82 -1.48 0.033113112148259 31.84 
0.400 0.5700 3801. 4.75 -1.29 0.051286138399136 36.82 
0.400 0.6000 3886. 4.72 -1.20 0.063095734448019 38.93 
0.400 0.6200 3949. 4.70 -1.14 0.072443596007499 40.32 
0.400 0.7000 4213. 4.64 -0.91 0.12302687708124 46.06 
0.400 0.7500 4419. 4.61 -0.77 0.16982436524617 49.19 
0.400 0.8000 4602. 4.58 -0.64 0.22908676527678 52.73 
0.400 0.8500 4773. 4.55 -0.52 0.3019951720402 56.62 
0.400 0.9000 4951. 4.51 -0.40 0.3981071705535 60.46 
0.400 0.9500 5127. 4.48 -0.28 0.52480746024977 64.46 
0.400 1.0000 5293. 4.45 -0.17 0.67608297539198 68.74 
0.400 1.0500 5444. 4.41 -0.06 0.87096358995608 73.50 
0.400 1.1000 5591. 4.38 0.04 1.0964781961432 78.38 
0.400 1.1500 5744. 4.34 0.14 1.3803842646029 83.21 
0.400 1.2000 5905. 4.31 0.23 1.6982436524617 87.87 
0.400 1.3000 6230. 4.27 0.41 2.5703957827689 96.13 
0.400 1.4000 6621. 4.25 0.56 3.630780547701 101.86 
