t m teff logg logL Lum R 
3.000 0.0300 713. 5.00 -5.72 1.9054607179632E-6 6.34 
3.000 0.0400 901. 5.16 -5.35 4.4668359215096E-6 6.06 
3.000 0.0500 1085. 5.29 -5.06 8.7096358995608E-6 5.84 
3.000 0.0600 1298. 5.39 -4.77 1.6982436524617E-5 5.71 
3.000 0.0700 1708. 5.43 -4.27 5.3703179637025E-5 5.86 
3.000 0.0720 1836. 5.43 -4.13 7.4131024130092E-5 5.99 
3.000 0.0750 2041. 5.40 -3.90 0.00012589254117942 6.28 
3.000 0.0800 2321. 5.35 -3.60 0.00025118864315096 6.86 
3.000 0.0900 2622. 5.29 -3.28 0.00052480746024977 7.83 
3.000 0.1000 2784. 5.25 -3.08 0.00083176377110267 8.67 
3.000 0.1100 2920. 5.22 -2.93 0.0011748975549395 9.39 
3.000 0.1300 3054. 5.17 -2.73 0.0018620871366629 10.80 
3.000 0.1500 3150. 5.13 -2.58 0.0026302679918954 12.09 
3.000 0.1750 3234. 5.10 -2.43 0.0037153522909717 13.60 
3.000 0.2000 3291. 5.07 -2.31 0.0048977881936845 15.04 
3.000 0.2500 3374. 5.02 -2.12 0.0075857757502918 17.80 
3.000 0.3000 3436. 4.98 -1.97 0.010715193052376 20.47 
3.000 0.3500 3477. 4.94 -1.85 0.014125375446228 23.03 
3.000 0.4000 3521. 4.89 -1.72 0.019054607179632 26.06 
3.000 0.4500 3581. 4.85 -1.60 0.025118864315096 29.00 
3.000 0.5000 3648. 4.80 -1.47 0.03388441561392 32.35 
3.000 0.5700 3798. 4.73 -1.27 0.053703179637025 37.40 
3.000 0.6000 3886. 4.71 -1.19 0.064565422903466 39.55 
3.000 0.6200 3951. 4.69 -1.13 0.074131024130092 40.98 
3.000 0.7000 4222. 4.63 -0.89 0.12882495516931 46.90 
3.000 0.7500 4437. 4.60 -0.75 0.17782794100389 50.19 
3.000 0.8000 4627. 4.56 -0.61 0.2454708915685 54.04 
3.000 0.8500 4808. 4.52 -0.48 0.33113112148259 58.35 
3.000 0.9000 4999. 4.48 -0.35 0.44668359215096 62.71 
3.000 0.9500 5184. 4.44 -0.22 0.60255958607436 67.57 
3.000 1.0000 5352. 4.39 -0.10 0.79432823472428 73.21 
3.000 1.0500 5506. 4.34 0.03 1.0715193052376 79.71 
3.000 1.1000 5653. 4.29 0.15 1.4125375446228 86.63 
3.000 1.1500 5796. 4.24 0.26 1.81970085861 94.07 
3.000 1.2000 5927. 4.17 0.39 2.454708915685 104.14 
3.000 1.3000 5957. 4.05 0.55 3.5481338923358 123.54 
