t m teff logg logL Lum 
0.002 0.0010 814. 3.07 -5.04 9.1201083935591E-6 
0.002 0.0020 1125. 3.34 -4.45 3.5481338923358E-5 
0.002 0.0030 1352. 3.47 -4.09 8.128305161641E-5 
0.002 0.0040 1551. 3.56 -3.81 0.00015488166189125 
0.002 0.0050 1716. 3.61 -3.59 0.00025703957827689 
0.002 0.0060 1849. 3.65 -3.42 0.00038018939632056 
0.002 0.0070 1954. 3.67 -3.28 0.00052480746024977 
0.002 0.0080 2047. 3.69 -3.16 0.00069183097091894 
0.002 0.0090 2119. 3.70 -3.06 0.00087096358995608 
0.002 0.0100 2172. 3.71 -2.98 0.0010471285480509 
0.002 0.0120 2264. 3.73 -2.84 0.0014454397707459 
0.002 0.0150 2368. 3.73 -2.68 0.002089296130854 
0.002 0.0200 2477. 3.74 -2.48 0.0033113112148259 
0.002 0.0300 2609. 3.75 -2.23 0.0058884365535559 
0.002 0.0400 2747. 3.70 -1.96 0.010964781961432 
0.002 0.0500 2790. 3.61 -1.74 0.0181970085861 
0.002 0.0600 2828. 3.60 -1.63 0.023442288153199 
0.002 0.0700 2858. 3.57 -1.52 0.03019951720402 
0.002 0.0720 2864. 3.57 -1.50 0.031622776601684 
0.002 0.0750 2865. 3.51 -1.42 0.038018939632056 
0.002 0.0800 2884. 3.55 -1.42 0.038018939632056 
0.002 0.0900 2904. 3.53 -1.34 0.045708818961487 
0.002 0.1000 2884. 3.45 -1.22 0.060255958607436 
0.002 0.1100 3014. 3.59 -1.25 0.056234132519035 
0.002 0.1300 3045. 3.63 -1.19 0.064565422903466 
0.002 0.1500 3080. 3.65 -1.13 0.074131024130092 
0.002 0.1750 3122. 3.66 -1.05 0.089125093813375 
0.002 0.2000 3162. 3.67 -0.99 0.10232929922808 
0.002 0.2500 3245. 3.68 -0.85 0.14125375446228 
0.002 0.3000 3313. 3.69 -0.75 0.17782794100389 
0.002 0.3500 3369. 3.69 -0.66 0.21877616239496 
0.002 0.4000 3416. 3.70 -0.58 0.26302679918954 
0.002 0.4500 3460. 3.70 -0.51 0.30902954325136 
0.002 0.5000 3497. 3.71 -0.45 0.35481338923358 
0.002 0.5700 3552. 3.71 -0.37 0.42657951880159 
0.002 0.6000 3574. 3.71 -0.34 0.45708818961488 
0.002 0.6200 3588. 3.71 -0.32 0.47863009232264 
0.002 0.7000 3645. 3.72 -0.24 0.57543993733716 
0.002 0.7500 3679. 3.73 -0.20 0.63095734448019 
0.002 0.8000 3711. 3.73 -0.17 0.67608297539198 
0.002 0.8500 3745. 3.74 -0.13 0.74131024130092 
0.002 0.9000 3780. 3.76 -0.11 0.77624711662869 
0.002 0.9500 3808. 3.74 -0.06 0.87096358995608 
0.002 1.0000 3842. 3.75 -0.03 0.93325430079699 
0.002 1.0500 3873. 3.75 0.01 1.0232929922808 
0.002 1.1000 3910. 3.75 0.04 1.0964781961432 
0.002 1.1500 3998. 3.76 0.09 1.2302687708124 
0.002 1.2000 4048. 3.77 0.12 1.3182567385564 
0.002 1.3000 4136. 3.78 0.18 1.5135612484362 
0.002 1.4000 4211. 3.79 0.24 1.7378008287494 
