t m teff logg logL Lum 
0.009 0.0020 768. 3.47 -5.24 5.7543993733716E-6 
0.009 0.0030 942. 3.62 -4.87 1.3489628825917E-5 
0.009 0.0040 1093. 3.73 -4.59 2.5703957827689E-5 
0.009 0.0050 1222. 3.81 -4.38 4.1686938347034E-5 
0.009 0.0060 1346. 3.87 -4.19 6.4565422903465E-5 
0.009 0.0070 1464. 3.92 -4.03 9.3325430079699E-5 
0.009 0.0080 1573. 3.96 -3.89 0.00012882495516931 
0.009 0.0090 1674. 4.00 -3.76 0.00017378008287494 
0.009 0.0100 1770. 4.03 -3.65 0.00022387211385683 
0.009 0.0120 1948. 4.06 -3.44 0.0003630780547701 
0.009 0.0150 2195. 4.04 -3.11 0.00077624711662869 
0.009 0.0200 2445. 3.94 -2.70 0.0019952623149689 
0.009 0.0300 2624. 3.91 -2.37 0.0042657951880159 
0.009 0.0400 2743. 4.10 -2.36 0.0043651583224017 
0.009 0.0500 2828. 4.07 -2.18 0.006606934480076 
0.009 0.0600 2875. 4.15 -2.15 0.0070794578438414 
0.009 0.0700 2922. 4.15 -2.06 0.0087096358995608 
0.009 0.0720 2930. 4.15 -2.04 0.0091201083935591 
0.009 0.0750 2946. 4.11 -1.98 0.010471285480509 
0.009 0.0800 2961. 4.15 -1.98 0.010471285480509 
0.009 0.0900 2996. 4.15 -1.91 0.012302687708124 
0.009 0.1000 3023. 4.12 -1.81 0.015488166189125 
0.009 0.1100 3110. 4.18 -1.79 0.016218100973589 
0.009 0.1300 3148. 4.18 -1.69 0.020417379446695 
0.009 0.1500 3184. 4.17 -1.60 0.025118864315096 
0.009 0.1750 3220. 4.17 -1.51 0.030902954325136 
0.009 0.2000 3248. 4.17 -1.43 0.037153522909717 
0.009 0.2500 3300. 4.16 -1.31 0.048977881936845 
0.009 0.3000 3343. 4.16 -1.20 0.063095734448019 
0.009 0.3500 3395. 4.16 -1.11 0.077624711662869 
0.009 0.4000 3451. 4.16 -1.02 0.095499258602144 
0.009 0.4500 3503. 4.16 -0.94 0.11481536214969 
0.009 0.5000 3555. 4.16 -0.88 0.13182567385564 
0.009 0.5700 3617. 4.16 -0.79 0.16218100973589 
0.009 0.6000 3642. 4.16 -0.75 0.17782794100389 
0.009 0.6200 3656. 4.16 -0.73 0.18620871366629 
0.009 0.7000 3714. 4.16 -0.66 0.21877616239496 
0.009 0.7500 3753. 4.16 -0.61 0.2454708915685 
0.009 0.8000 3790. 4.16 -0.56 0.27542287033382 
0.009 0.8500 3830. 4.16 -0.52 0.3019951720402 
0.009 0.9000 3872. 4.16 -0.47 0.3388441561392 
0.009 0.9500 3917. 4.16 -0.42 0.38018939632056 
0.009 1.0000 3993. 4.16 -0.37 0.42657951880159 
0.009 1.0500 4054. 4.16 -0.32 0.47863009232264 
0.009 1.1000 4114. 4.16 -0.28 0.52480746024977 
0.009 1.1500 4178. 4.16 -0.23 0.58884365535559 
0.009 1.2000 4250. 4.15 -0.18 0.6606934480076 
0.009 1.3000 4403. 4.13 -0.06 0.87096358995608 
0.009 1.4000 4606. 4.10 0.09 1.2302687708124 
