t m teff logg logL Lum R 
0.800 0.0120 633. 4.46 -5.79 1.6218100973589E-6 7.46 
0.800 0.0150 686. 4.58 -5.67 2.1379620895022E-6 7.25 
0.800 0.0200 816. 4.73 -5.40 3.981071705535E-6 7.05 
0.800 0.0300 1078. 4.94 -4.94 1.1481536214969E-5 6.79 
0.800 0.0400 1365. 5.08 -4.56 2.7542287033382E-5 6.62 
0.800 0.0500 1648. 5.19 -4.24 5.7543993733716E-5 6.56 
0.800 0.0600 1908. 5.26 -3.98 0.00010471285480509 6.59 
0.800 0.0700 2161. 5.30 -3.74 0.000181970085861 6.78 
0.800 0.0720 2218. 5.31 -3.68 0.0002089296130854 6.87 
0.800 0.0750 2294. 5.31 -3.61 0.0002454708915685 6.99 
0.800 0.0800 2420. 5.30 -3.48 0.00033113112148259 7.26 
0.800 0.0900 2636. 5.28 -3.25 0.00056234132519035 7.94 
0.800 0.1000 2786. 5.24 -3.08 0.00083176377110267 8.70 
0.800 0.1100 2920. 5.22 -2.93 0.0011748975549395 9.40 
0.800 0.1300 3054. 5.17 -2.73 0.0018620871366629 10.80 
0.800 0.1500 3149. 5.13 -2.58 0.0026302679918954 12.09 
0.800 0.1750 3234. 5.10 -2.43 0.0037153522909717 13.59 
0.800 0.2000 3290. 5.07 -2.32 0.0047863009232264 15.02 
0.800 0.2500 3373. 5.03 -2.13 0.0074131024130092 17.67 
0.800 0.3000 3437. 4.99 -1.99 0.010232929922808 20.14 
0.800 0.3500 3481. 4.96 -1.86 0.013803842646029 22.61 
0.800 0.4000 3523. 4.90 -1.73 0.018620871366629 25.72 
0.800 0.4500 3583. 4.86 -1.61 0.02454708915685 28.66 
0.800 0.5000 3650. 4.81 -1.48 0.033113112148259 32.00 
0.800 0.5700 3798. 4.74 -1.28 0.052480746024977 37.01 
0.800 0.6000 3884. 4.72 -1.20 0.063095734448019 39.13 
0.800 0.6200 3947. 4.70 -1.14 0.072443596007499 40.53 
0.800 0.7000 4209. 4.64 -0.91 0.12302687708124 46.30 
0.800 0.7500 4417. 4.61 -0.77 0.16982436524617 49.45 
0.800 0.8000 4602. 4.58 -0.64 0.22908676527678 53.02 
0.800 0.8500 4775. 4.54 -0.51 0.30902954325136 56.97 
0.800 0.9000 4955. 4.51 -0.39 0.40738027780411 60.89 
0.800 0.9500 5133. 4.47 -0.27 0.53703179637025 64.98 
0.800 1.0000 5300. 4.44 -0.16 0.69183097091894 69.36 
0.800 1.0500 5453. 4.40 -0.05 0.89125093813375 74.37 
0.800 1.1000 5600. 4.36 0.06 1.1481536214969 79.48 
0.800 1.1500 5750. 4.33 0.16 1.4454397707459 84.61 
0.800 1.2000 5920. 4.30 0.26 1.81970085861 89.72 
0.800 1.3000 6220. 4.25 0.43 2.6915348039269 98.86 
0.800 1.4000 6580. 4.22 0.59 3.8904514499428 106.13 
