t m teff logg logL Lum R 
2.000 0.0200 610. 4.76 -5.93 1.1748975549395E-6 6.79 
2.000 0.0300 824. 4.98 -5.46 3.4673685045253E-6 6.45 
2.000 0.0400 1021. 5.14 -5.12 7.5857757502918E-6 6.20 
2.000 0.0500 1232. 5.26 -4.82 1.5135612484362E-5 6.00 
2.000 0.0600 1471. 5.36 -4.53 2.9512092266664E-5 5.90 
2.000 0.0700 1844. 5.40 -4.11 7.7624711662869E-5 6.07 
2.000 0.0720 1941. 5.40 -4.00 0.0001 6.18 
2.000 0.0750 2095. 5.38 -3.84 0.00014454397707459 6.41 
2.000 0.0800 2327. 5.35 -3.59 0.00025703957827689 6.89 
2.000 0.0900 2621. 5.29 -3.28 0.00052480746024977 7.84 
2.000 0.1000 2784. 5.25 -3.08 0.00083176377110267 8.67 
2.000 0.1100 2920. 5.22 -2.93 0.0011748975549395 9.39 
2.000 0.1300 3054. 5.17 -2.73 0.0018620871366629 10.80 
2.000 0.1500 3150. 5.13 -2.58 0.0026302679918954 12.09 
2.000 0.1750 3234. 5.10 -2.43 0.0037153522909717 13.59 
2.000 0.2000 3291. 5.07 -2.32 0.0047863009232264 15.03 
2.000 0.2500 3374. 5.02 -2.13 0.0074131024130092 17.73 
2.000 0.3000 3437. 4.98 -1.98 0.010471285480509 20.30 
2.000 0.3500 3478. 4.95 -1.85 0.014125375446228 22.87 
2.000 0.4000 3521. 4.90 -1.72 0.019054607179632 25.98 
2.000 0.4500 3582. 4.86 -1.60 0.025118864315096 28.87 
2.000 0.5000 3648. 4.81 -1.47 0.03388441561392 32.23 
2.000 0.5700 3797. 4.74 -1.28 0.052480746024977 37.27 
2.000 0.6000 3883. 4.71 -1.19 0.064565422903466 39.41 
2.000 0.6200 3948. 4.69 -1.13 0.074131024130092 40.80 
2.000 0.7000 4215. 4.63 -0.90 0.12589254117942 46.66 
2.000 0.7500 4427. 4.60 -0.76 0.17378008287494 49.88 
2.000 0.8000 4614. 4.57 -0.62 0.23988329190195 53.61 
2.000 0.8500 4792. 4.53 -0.49 0.32359365692963 57.76 
2.000 0.9000 4977. 4.49 -0.37 0.42657951880159 61.89 
2.000 0.9500 5162. 4.46 -0.24 0.57543993733716 66.34 
2.000 1.0000 5328. 4.42 -0.12 0.75857757502918 71.38 
2.000 1.0500 5480. 4.37 -0.01 0.97723722095581 77.02 
2.000 1.1000 5629. 4.33 0.10 1.2589254117942 83.08 
2.000 1.1500 5777. 4.28 0.21 1.6218100973589 89.23 
2.000 1.2000 5965. 4.24 0.33 2.1379620895022 96.16 
2.000 1.3000 6177. 4.17 0.50 3.1622776601684 108.61 
2.000 1.4000 6311. 4.07 0.66 4.5708818961488 125.37 
