t m teff logg logL Lum R 
0.300 0.0080 608. 4.23 -5.80 1.5848931924611E-6 7.91 
0.300 0.0090 653. 4.29 -5.69 2.0417379446695E-6 7.85 
0.300 0.0100 703. 4.34 -5.56 2.7542287033382E-6 7.82 
0.300 0.0120 915. 4.40 -5.09 8.128305161641E-6 8.00 
0.300 0.0150 924. 4.53 -5.11 7.7624711662869E-6 7.67 
0.300 0.0200 1100. 4.67 -4.82 1.5135612484362E-5 7.51 
0.300 0.0300 1489. 4.86 -4.31 4.8977881936845E-5 7.41 
0.300 0.0400 1823. 4.98 -3.95 0.0001122018454302 7.46 
0.300 0.0500 2099. 5.05 -3.68 0.0002089296130854 7.66 
0.300 0.0600 2321. 5.10 -3.48 0.00033113112148259 7.91 
0.300 0.0700 2503. 5.14 -3.31 0.00048977881936845 8.24 
0.300 0.0720 2536. 5.14 -3.28 0.00052480746024977 8.32 
0.300 0.0750 2581. 5.14 -3.24 0.00057543993733716 8.44 
0.300 0.0800 2647. 5.15 -3.17 0.00067608297539198 8.64 
0.300 0.0900 2762. 5.16 -3.05 0.00089125093813375 9.12 
0.300 0.1000 2850. 5.16 -2.95 0.001122018454302 9.59 
0.300 0.1100 2952. 5.16 -2.86 0.0013803842646029 10.00 
0.300 0.1300 3064. 5.14 -2.70 0.0019952623149689 11.18 
0.300 0.1500 3154. 5.12 -2.56 0.0027542287033382 12.32 
0.300 0.1750 3235. 5.09 -2.42 0.0038018939632056 13.74 
0.300 0.2000 3291. 5.07 -2.31 0.0048977881936845 15.11 
0.300 0.2500 3373. 5.02 -2.13 0.0074131024130092 17.72 
0.300 0.3000 3437. 4.99 -1.99 0.010232929922808 20.14 
0.300 0.3500 3480. 4.96 -1.86 0.013803842646029 22.60 
0.300 0.4000 3533. 4.92 -1.74 0.0181970085861 25.22 
0.300 0.4500 3594. 4.87 -1.61 0.02454708915685 28.28 
0.300 0.5000 3661. 4.82 -1.48 0.033113112148259 31.70 
0.300 0.5700 3805. 4.75 -1.29 0.051286138399136 36.74 
0.300 0.6000 3890. 4.72 -1.20 0.063095734448019 38.85 
0.300 0.6200 3952. 4.71 -1.14 0.072443596007499 40.24 
0.300 0.7000 4214. 4.64 -0.92 0.12022644346174 45.95 
0.300 0.7500 4420. 4.62 -0.77 0.16982436524617 49.09 
0.300 0.8000 4603. 4.58 -0.64 0.22908676527678 52.63 
0.300 0.8500 4774. 4.55 -0.52 0.3019951720402 56.50 
0.300 0.9000 4951. 4.52 -0.40 0.3981071705535 60.33 
0.300 0.9500 5126. 4.48 -0.28 0.52480746024977 64.33 
0.300 1.0000 5292. 4.45 -0.17 0.67608297539198 68.56 
0.300 1.0500 5443. 4.41 -0.07 0.85113803820238 73.27 
0.300 1.1000 5590. 4.38 0.04 1.0964781961432 78.06 
0.300 1.1500 5741. 4.35 0.13 1.3489628825917 82.90 
0.300 1.2000 5901. 4.32 0.23 1.6982436524617 87.50 
0.300 1.3000 6232. 4.28 0.40 2.5118864315096 95.57 
0.300 1.4000 6633. 4.26 0.56 3.630780547701 100.90 
