t m teff logg logL Lum 
0.050 0.0040 676. 3.84 -5.53 2.9512092266664E-6
0.050 0.0050 756. 3.93 -5.34 4.5708818961488E-6
0.050 0.0060 840. 4.01 -5.15 7.0794578438414E-6
0.050 0.0070 928. 4.08 -4.98 1.0471285480509E-5
0.050 0.0080 1010. 4.14 -4.83 1.4791083881682E-5
0.050 0.0090 1085. 4.19 -4.71 1.949844599758E-5
0.050 0.0100 1171. 4.23 -4.57 2.6915348039269E-5
0.050 0.0120 1520. 4.24 -4.05 8.9125093813375E-5
0.050 0.0150 1903. 4.25 -3.57 0.00026915348039269
0.050 0.0200 1909. 4.45 -3.64 0.00022908676527678
0.050 0.0300 2246. 4.58 -3.31 0.00048977881936845
0.050 0.0400 2480. 4.64 -3.08 0.00083176377110267
0.050 0.0500 2651. 4.66 -2.88 0.0013182567385564
0.050 0.0600 2759. 4.68 -2.75 0.0017782794100389
0.050 0.0700 2837. 4.69 -2.65 0.0022387211385683
0.050 0.0720 2852. 4.68 -2.62 0.0023988329190195
0.050 0.0750 2872. 4.68 -2.59 0.0025703957827689
0.050 0.0800 2901. 4.69 -2.55 0.0028183829312645
0.050 0.0900 2948. 4.69 -2.47 0.003388441561392
0.050 0.1000 2989. 4.68 -2.40 0.003981071705535
0.050 0.1100 3095. 4.72 -2.33 0.004677351412872
0.050 0.1300 3159. 4.71 -2.22 0.0060255958607436
0.050 0.1500 3211. 4.71 -2.13 0.0074131024130092
0.050 0.1750 3260. 4.71 -2.03 0.0093325430079699
0.050 0.2000 3303. 4.70 -1.94 0.011481536214969
0.050 0.2500 3361. 4.69 -1.80 0.015848931924611
0.050 0.3000 3414. 4.68 -1.69 0.020417379446695
0.050 0.3500 3458. 4.68 -1.59 0.025703957827689
0.050 0.4000 3501. 4.66 -1.50 0.031622776601684
0.050 0.4500 3536. 4.65 -1.42 0.038018939632056
0.050 0.5000 3578. 4.64 -1.34 0.045708818961487
0.050 0.5700 3668. 4.62 -1.22 0.060255958607436
0.050 0.6000 3720. 4.61 -1.16 0.069183097091894
0.050 0.6200 3763. 4.60 -1.12 0.075857757502918
0.050 0.7000 3980. 4.55 -0.92 0.12022644346174
0.050 0.7500 4224. 4.51 -0.75 0.17782794100389
0.050 0.8000 4515. 4.48 -0.57 0.26915348039269
0.050 0.8500 4825. 4.44 -0.39 0.40738027780411
0.050 0.9000 5030. 4.46 -0.32 0.47863009232264
0.050 0.9500 5122. 4.48 -0.28 0.52480746024977
0.050 1.0000 5270. 4.46 -0.19 0.64565422903466
0.050 1.0500 5398. 4.43 -0.10 0.79432823472428
0.050 1.1000 5516. 4.40 0.00 1
0.050 1.1500 5656. 4.36 0.10 1.2589254117942
0.050 1.2000 5810. 4.33 0.19 1.5488166189125
0.050 1.3000 6202. 4.28 0.38 2.3988329190195
0.050 1.4000 6628. 4.28 0.54 3.4673685045253
