t m teff logg logL Lum R 
0.700 0.0120 665. 4.45 -5.70 1.9952623149689E-6 7.51 
0.700 0.0150 715. 4.57 -5.59 2.5703957827689E-6 7.30 
0.700 0.0200 854. 4.72 -5.31 4.8977881936845E-6 7.11 
0.700 0.0300 1126. 4.93 -4.86 1.3803842646029E-5 6.85 
0.700 0.0400 1429. 5.07 -4.47 3.388441561392E-5 6.70 
0.700 0.0500 1708. 5.17 -4.16 6.9183097091894E-5 6.66 
0.700 0.0600 1968. 5.24 -3.91 0.00012302687708124 6.73 
0.700 0.0700 2207. 5.29 -3.68 0.0002089296130854 6.93 
0.700 0.0720 2256. 5.29 -3.63 0.00023442288153199 7.00 
0.700 0.0750 2331. 5.29 -3.56 0.00027542287033382 7.13 
0.700 0.0800 2446. 5.29 -3.45 0.00035481338923358 7.38 
0.700 0.0900 2644. 5.27 -3.24 0.00057543993733716 8.00 
0.700 0.1000 2789. 5.24 -3.08 0.00083176377110267 8.72 
0.700 0.1100 2921. 5.22 -2.93 0.0011748975549395 9.40 
0.700 0.1300 3054. 5.17 -2.73 0.0018620871366629 10.81 
0.700 0.1500 3149. 5.13 -2.58 0.0026302679918954 12.09 
0.700 0.1750 3234. 5.10 -2.43 0.0037153522909717 13.59 
0.700 0.2000 3290. 5.07 -2.32 0.0047863009232264 15.02 
0.700 0.2500 3373. 5.03 -2.13 0.0074131024130092 17.67 
0.700 0.3000 3437. 4.99 -1.99 0.010232929922808 20.13 
0.700 0.3500 3477. 4.94 -1.85 0.014125375446228 22.96 
0.700 0.4000 3524. 4.91 -1.73 0.018620871366629 25.67 
0.700 0.4500 3584. 4.86 -1.61 0.02454708915685 28.62 
0.700 0.5000 3650. 4.81 -1.48 0.033113112148259 31.98 
0.700 0.5700 3798. 4.74 -1.28 0.052480746024977 36.97 
0.700 0.6000 3885. 4.72 -1.20 0.063095734448019 39.09 
0.700 0.6200 3948. 4.70 -1.14 0.072443596007499 40.49 
0.700 0.7000 4209. 4.64 -0.91 0.12302687708124 46.26 
0.700 0.7500 4417. 4.61 -0.77 0.16982436524617 49.40 
0.700 0.8000 4600. 4.58 -0.64 0.22908676527678 52.95 
0.700 0.8500 4774. 4.54 -0.51 0.30902954325136 56.91 
0.700 0.9000 4953. 4.51 -0.39 0.40738027780411 60.79 
0.700 0.9500 5132. 4.48 -0.27 0.53703179637025 64.85 
0.700 1.0000 5298. 4.44 -0.16 0.69183097091894 69.22 
0.700 1.0500 5449. 4.40 -0.05 0.89125093813375 74.13 
0.700 1.1000 5598. 4.37 0.05 1.122018454302 79.23 
0.700 1.1500 5749. 4.33 0.15 1.4125375446228 84.28 
0.700 1.2000 5916. 4.30 0.25 1.7782794100389 89.21 
0.700 1.3000 6222. 4.25 0.42 2.6302679918954 98.23 
0.700 1.4000 6592. 4.23 0.58 3.8018939632056 104.77 
