t m teff logg logL Lum 
0.007 0.0020 825. 3.45 -5.10 7.9432823472428E-6 
0.007 0.0030 1007. 3.61 -4.73 1.8620871366629E-5 
0.007 0.0040 1164. 3.71 -4.46 3.4673685045253E-5 
0.007 0.0050 1300. 3.79 -4.25 5.6234132519035E-5 
0.007 0.0060 1430. 3.85 -4.06 8.7096358995608E-5 
0.007 0.0070 1555. 3.89 -3.89 0.00012882495516931 
0.007 0.0080 1665. 3.93 -3.75 0.00017782794100389 
0.007 0.0090 1766. 3.96 -3.63 0.00023442288153199 
0.007 0.0100 1860. 3.98 -3.52 0.0003019951720402 
0.007 0.0120 2014. 4.02 -3.34 0.00045708818961488 
0.007 0.0150 2221. 4.01 -3.07 0.00085113803820238 
0.007 0.0200 2447. 3.92 -2.68 0.002089296130854 
0.007 0.0300 2621. 3.83 -2.30 0.0050118723362727 
0.007 0.0400 2764. 3.99 -2.24 0.0057543993733716 
0.007 0.0500 2829. 3.93 -2.04 0.0091201083935591 
0.007 0.0600 2887. 4.05 -2.05 0.0089125093813375 
0.007 0.0700 2932. 4.06 -1.96 0.010964781961432 
0.007 0.0720 2940. 4.06 -1.94 0.011481536214969 
0.007 0.0750 2953. 4.00 -1.86 0.013803842646029 
0.007 0.0800 2968. 4.06 -1.88 0.013182567385564 
0.007 0.0900 2998. 4.06 -1.82 0.015135612484362 
0.007 0.1000 3023. 4.02 -1.71 0.01949844599758 
0.007 0.1100 3106. 4.09 -1.70 0.019952623149689 
0.007 0.1300 3144. 4.09 -1.60 0.025118864315096 
0.007 0.1500 3181. 4.09 -1.52 0.03019951720402 
0.007 0.1750 3214. 4.09 -1.43 0.037153522909717 
0.007 0.2000 3240. 4.09 -1.36 0.043651583224017 
0.007 0.2500 3294. 4.08 -1.23 0.058884365535559 
0.007 0.3000 3343. 4.08 -1.13 0.074131024130092 
0.007 0.3500 3397. 4.08 -1.03 0.093325430079699 
0.007 0.4000 3453. 4.09 -0.95 0.1122018454302 
0.007 0.4500 3502. 4.09 -0.87 0.13489628825917 
0.007 0.5000 3551. 4.08 -0.80 0.15848931924611 
0.007 0.5700 3605. 4.09 -0.72 0.19054607179632 
0.007 0.6000 3630. 4.09 -0.69 0.20417379446695 
0.007 0.6200 3644. 4.09 -0.66 0.21877616239496 
0.007 0.7000 3698. 4.09 -0.59 0.25703957827689 
0.007 0.7500 3737. 4.09 -0.54 0.28840315031266 
0.007 0.8000 3773. 4.09 -0.50 0.31622776601684 
0.007 0.8500 3807. 4.09 -0.45 0.35481338923358 
0.007 0.9000 3849. 4.10 -0.42 0.38018939632056 
0.007 0.9500 3884. 4.09 -0.37 0.42657951880159 
0.007 1.0000 3951. 4.10 -0.32 0.47863009232264 
0.007 1.0500 4020. 4.10 -0.28 0.52480746024977 
0.007 1.1000 4070. 4.10 -0.23 0.58884365535559 
0.007 1.1500 4123. 4.10 -0.19 0.64565422903466 
0.007 1.2000 4176. 4.10 -0.15 0.70794578438414 
0.007 1.3000 4290. 4.09 -0.06 0.87096358995608 
0.007 1.4000 4426. 4.07 0.04 1.0964781961432 
