t m teff logg logL Lum 
0.008 0.0020 796. 3.46 -5.17 6.7608297539198E-6 
0.008 0.0030 972. 3.62 -4.80 1.5848931924611E-5 
0.008 0.0040 1128. 3.72 -4.52 3.019951720402E-5 
0.008 0.0050 1265. 3.80 -4.31 4.8977881936845E-5 
0.008 0.0060 1384. 3.86 -4.13 7.4131024130092E-5 
0.008 0.0070 1502. 3.91 -3.97 0.00010715193052376 
0.008 0.0080 1611. 3.95 -3.83 0.00014791083881682 
0.008 0.0090 1712. 3.98 -3.71 0.0001949844599758 
0.008 0.0100 1808. 4.01 -3.60 0.00025118864315096 
0.008 0.0120 1979. 4.04 -3.39 0.00040738027780411 
0.008 0.0150 2206. 4.03 -3.09 0.0008128305161641 
0.008 0.0200 2446. 3.93 -2.69 0.0020417379446695 
0.008 0.0300 2623. 3.86 -2.33 0.004677351412872 
0.008 0.0400 2754. 4.05 -2.31 0.0048977881936845 
0.008 0.0500 2835. 4.01 -2.11 0.0077624711662869 
0.008 0.0600 2881. 4.10 -2.10 0.0079432823472428 
0.008 0.0700 2927. 4.11 -2.01 0.0097723722095581 
0.008 0.0720 2935. 4.11 -2.00 0.01 
0.008 0.0750 2950. 4.06 -1.93 0.011748975549395 
0.008 0.0800 2965. 4.11 -1.93 0.011748975549395 
0.008 0.0900 2997. 4.11 -1.86 0.013803842646029 
0.008 0.1000 3023. 4.07 -1.77 0.016982436524617 
0.008 0.1100 3108. 4.14 -1.75 0.017782794100389 
0.008 0.1300 3146. 4.14 -1.65 0.022387211385683 
0.008 0.1500 3183. 4.14 -1.56 0.027542287033382 
0.008 0.1750 3217. 4.13 -1.47 0.03388441561392 
0.008 0.2000 3244. 4.13 -1.40 0.03981071705535 
0.008 0.2500 3296. 4.13 -1.27 0.053703179637025 
0.008 0.3000 3343. 4.13 -1.17 0.067608297539198 
0.008 0.3500 3396. 4.13 -1.07 0.085113803820238 
0.008 0.4000 3451. 4.12 -0.98 0.10471285480509 
0.008 0.4500 3503. 4.12 -0.91 0.12302687708124 
0.008 0.5000 3554. 4.12 -0.84 0.14454397707459 
0.008 0.5700 3612. 4.12 -0.75 0.17782794100389 
0.008 0.6000 3636. 4.12 -0.72 0.19054607179632 
0.008 0.6200 3652. 4.13 -0.70 0.19952623149689 
0.008 0.7000 3707. 4.13 -0.62 0.23988329190195 
0.008 0.7500 3746. 4.13 -0.58 0.26302679918954 
0.008 0.8000 3782. 4.13 -0.53 0.29512092266664 
0.008 0.8500 3819. 4.13 -0.49 0.32359365692963 
0.008 0.9000 3860. 4.13 -0.45 0.35481338923358 
0.008 0.9500 3897. 4.13 -0.40 0.3981071705535 
0.008 1.0000 3974. 4.13 -0.35 0.44668359215096 
0.008 1.0500 4036. 4.13 -0.30 0.50118723362727 
0.008 1.1000 4092. 4.13 -0.26 0.54954087385762 
0.008 1.1500 4151. 4.13 -0.22 0.60255958607436 
0.008 1.2000 4210. 4.13 -0.17 0.67608297539198 
0.008 1.3000 4343. 4.11 -0.06 0.87096358995608 
0.008 1.4000 4508. 4.09 0.06 1.1481536214969 
