t m teff logg logL Lum 
0.040 0.0030 618. 3.71 -5.68 2.089296130854E-6
0.040 0.0040 714. 3.83 -5.43 3.7153522909717E-6
0.040 0.0050 806. 3.92 -5.21 6.1659500186148E-6
0.040 0.0060 899. 4.00 -5.02 9.5499258602144E-6
0.040 0.0070 994. 4.06 -4.84 1.4454397707459E-5
0.040 0.0080 1072. 4.12 -4.71 1.949844599758E-5
0.040 0.0090 1153. 4.17 -4.58 2.6302679918954E-5
0.040 0.0100 1239. 4.21 -4.45 3.5481338923358E-5
0.040 0.0120 1564. 4.23 -3.99 0.00010232929922808
0.040 0.0150 2025. 4.17 -3.39 0.00040738027780411
0.040 0.0200 2020. 4.39 -3.49 0.00032359365692963
0.040 0.0300 2324. 4.52 -3.19 0.00064565422903466
0.040 0.0400 2535. 4.58 -2.98 0.0010471285480509
0.040 0.0500 2687. 4.60 -2.80 0.0015848931924611
0.040 0.0600 2782. 4.62 -2.68 0.002089296130854
0.040 0.0700 2855. 4.62 -2.57 0.0026915348039269
0.040 0.0720 2867. 4.62 -2.55 0.0028183829312645
0.040 0.0750 2886. 4.62 -2.52 0.003019951720402
0.040 0.0800 2911. 4.63 -2.48 0.0033113112148259
0.040 0.0900 2955. 4.63 -2.40 0.003981071705535
0.040 0.1000 2994. 4.62 -2.33 0.004677351412872
0.040 0.1100 3105. 4.65 -2.26 0.0054954087385762
0.040 0.1300 3164. 4.65 -2.15 0.0070794578438414
0.040 0.1500 3214. 4.64 -2.06 0.0087096358995608
0.040 0.1750 3262. 4.64 -1.96 0.010964781961432
0.040 0.2000 3301. 4.63 -1.87 0.013489628825917
0.040 0.2500 3360. 4.62 -1.73 0.018620871366629
0.040 0.3000 3414. 4.61 -1.62 0.023988329190195
0.040 0.3500 3455. 4.61 -1.52 0.03019951720402
0.040 0.4000 3495. 4.60 -1.44 0.03630780547701
0.040 0.4500 3529. 4.59 -1.37 0.042657951880159
0.040 0.5000 3568. 4.59 -1.30 0.050118723362727
0.040 0.5700 3642. 4.57 -1.18 0.06606934480076
0.040 0.6000 3681. 4.56 -1.14 0.072443596007499
0.040 0.6200 3710. 4.56 -1.10 0.079432823472428
0.040 0.7000 3869. 4.52 -0.94 0.11481536214969
0.040 0.7500 4003. 4.50 -0.83 0.14791083881682
0.040 0.8000 4215. 4.47 -0.68 0.2089296130854
0.040 0.8500 4478. 4.43 -0.51 0.30902954325136
0.040 0.9000 4774. 4.39 -0.33 0.4677351412872
0.040 0.9500 5126. 4.36 -0.15 0.70794578438414
0.040 1.0000 5308. 4.40 -0.12 0.75857757502918
0.040 1.0500 5406. 4.42 -0.08 0.83176377110267
0.040 1.1000 5523. 4.40 0.00 1
0.040 1.1500 5638. 4.36 0.09 1.2302687708124
0.040 1.2000 5778. 4.33 0.18 1.5135612484362
0.040 1.3000 6143. 4.28 0.37 2.3442288153199
0.040 1.4000 6624. 4.28 0.54 3.4673685045253
