t m teff logg logL Lum R 
10.000 0.0400 634. 5.20 -6.00 1.0E-6 5.79 
10.000 0.0500 776. 5.34 -5.69 2.0417379446695E-6 5.52 
10.000 0.0600 941. 5.45 -5.39 4.0738027780411E-6 5.31 
10.000 0.0700 1289. 5.50 -4.83 1.4791083881682E-5 5.40 
10.000 0.0720 1556. 5.48 -4.47 3.388441561392E-5 5.62 
10.000 0.0750 1997. 5.41 -3.95 0.0001122018454302 6.19 
10.000 0.0800 2322. 5.35 -3.60 0.00025118864315096 6.87 
10.000 0.0900 2624. 5.29 -3.27 0.00053703179637025 7.84 
10.000 0.1000 2786. 5.25 -3.08 0.00083176377110267 8.67 
10.000 0.1100 2922. 5.22 -2.93 0.0011748975549395 9.40 
10.000 0.1300 3056. 5.17 -2.73 0.0018620871366629 10.81 
10.000 0.1500 3153. 5.13 -2.58 0.0026302679918954 12.12 
10.000 0.1750 3237. 5.09 -2.43 0.0037153522909717 13.68 
10.000 0.2000 3295. 5.06 -2.30 0.0050118723362727 15.23 
10.000 0.2500 3378. 5.00 -2.10 0.0079432823472428 18.26 
10.000 0.3000 3436. 4.95 -1.94 0.011481536214969 21.13 
10.000 0.3500 3475. 4.91 -1.82 0.015135612484362 23.80 
10.000 0.4000 3524. 4.88 -1.71 0.01949844599758 26.40 
10.000 0.4500 3584. 4.84 -1.58 0.026302679918954 29.39 
10.000 0.5000 3654. 4.79 -1.45 0.035481338923358 32.85 
10.000 0.5700 3819. 4.72 -1.25 0.056234132519035 38.07 
10.000 0.6000 3914. 4.69 -1.16 0.069183097091894 40.36 
10.000 0.6200 3982. 4.67 -1.09 0.08128305161641 41.90 
10.000 0.7000 4284. 4.60 -0.84 0.14454397707459 48.41 
10.000 0.7500 4520. 4.56 -0.68 0.2089296130854 52.46 
10.000 0.8000 4725. 4.50 -0.52 0.3019951720402 57.70 
10.000 0.8500 4945. 4.44 -0.35 0.44668359215096 63.92 
10.000 0.9000 5165. 4.36 -0.17 0.67608297539198 72.11 
10.000 0.9500 5322. 4.24 0.03 1.0715193052376 85.06 
