#lam[Angstrom] flux[erg/cm2/s/A]
1010.0 293679.6910948425
1020.0 304092.0758611346
1030.0 1049100.9483525439
1040.0 413538.9974067301
1050.0 311394.3269931973
1060.0 314209.35656473663
1070.0 331795.3212068412
1080.0 1004111.2479416367
1090.0 1022962.2194067081
1100.0 327934.25991430436
1110.0 330563.00121495145
1120.0 343414.59515488055
1130.0 334037.26816999447
1140.0 362765.5127888632
1150.0 340427.6851420862
1160.0 346900.67587628076
1170.0 347542.5006487592
1180.0 349039.23220536835
1190.0 351163.6177362449
1200.0 529502.728819889
1210.0 471287.1649912878
1220.0 2998526.442444102
1230.0 433736.6258554612
1240.0 1768113.8358770416
1250.0 615840.032219883
1260.0 856997.1892847044
1270.0 880460.2896740251
1280.0 909029.556740134
1290.0 981090.382734906
1300.0 1056526.0032235405
1310.0 1161887.701273571
1320.0 1213630.1844604379
1330.0 1234117.643030565
1340.0 1377386.438761313
1350.0 1325619.5301293237
1360.0 1357230.0456430835
1370.0 1377330.625065944
1380.0 1406533.6088416183
1390.0 3220334.505825331
1400.0 3581259.2166948994
1410.0 2647507.2732942123
1420.0 1493440.063817083
1430.0 1466513.9025011007
1440.0 1474036.610318993
1450.0 1483844.0268583472
1460.0 1495521.385002456
1470.0 1507113.098036841
1480.0 1514210.5524525377
1490.0 2376548.13768962
1500.0 1499234.343848846
1510.0 1496765.3276459142
1520.0 1498408.4882826505
1530.0 1565722.2475015535
1540.0 1487885.886092954
1550.0 21126781.440375898
1560.0 1488483.8157911783
1570.0 1482096.4409074048
1580.0 1552916.3249279207
1590.0 1480691.2015756376
1600.0 1623472.6792640118
1610.0 1477807.483275449
1620.0 1477690.130212613
1630.0 1468944.407805449
1640.0 13435337.656625163
1650.0 1456643.6171437188
1660.0 1884213.4116989155
1670.0 2565837.5562377726
1680.0 1447311.4283401333
1690.0 1442939.423260181
1700.0 1437042.2171711288
1710.0 1429779.330160486
1720.0 1534903.2659321157
1730.0 1436961.5742945806
1740.0 1464165.9056062496
1750.0 2172366.7142889495
1760.0 1424174.3750236598
1770.0 1423726.2411781207
1780.0 1428016.4126503635
1790.0 1527210.2985561758
1800.0 1418446.734683166
1810.0 1749517.7392248386
1820.0 1779570.0189474802
1830.0 1392262.6778833652
1840.0 1383382.0502840579
1850.0 1493576.6991522121
1860.0 1436794.3597733343
1870.0 1367170.4508264961
1880.0 2241542.1359988535
1890.0 2805235.939103961
1900.0 1353566.6683221585
1910.0 9094390.011869572
1920.0 1344206.1759014942
1930.0 1350182.1995972286
1940.0 1325684.324950394
1950.0 1324961.6331403926
1960.0 1311483.690285604
1970.0 1303765.4459211081
1980.0 1296789.0291757607
1990.0 1291097.7574856943
2000.0 1282365.7097135752
2010.0 1271190.8339078142
2020.0 1218529.787936757
2030.0 1149312.794460869
2040.0 1115536.891243825
2050.0 1064798.9676992558
2060.0 1047069.6878501317
2070.0 1054991.632299163
2080.0 1031794.7238741099
2090.0 1063899.6980617398
2100.0 1040942.396777421
2110.0 1041101.1383291229
2120.0 1071157.691520043
2130.0 1069675.181388917
2140.0 1125074.071157578
2150.0 1029232.0185565251
2160.0 1037164.274811037
2170.0 1012198.8442191285
2180.0 1052031.9535227679
2190.0 1029102.1943577554
2200.0 1039423.4198943989
2210.0 1051992.74301456
2220.0 1103763.390269395
2230.0 1079988.1805998017
2240.0 1097419.4781325422
2250.0 1165629.8465680073
2260.0 1137287.3413079553
2270.0 1159997.6617719093
2280.0 1183669.0241381538
2290.0 1208372.6530989811
2300.0 1263678.552596515
2310.0 1329501.0610774313
2320.0 1395665.1934962142
2330.0 2500835.6751208124
2340.0 1585516.9664071768
2350.0 1413799.0176043275
2360.0 1380230.7009427918
2370.0 1407224.94456754
2380.0 1434019.9933309832
2390.0 1567525.5255591548
2400.0 1488324.3689493642
2410.0 1519220.6439735335
2420.0 1540102.6530101935
2430.0 3334573.1895309766
2440.0 1591277.802995994
2450.0 1621747.9531219772
2460.0 1641495.4506004252
2470.0 1666752.0640330154
2480.0 1692140.3738268185
2490.0 1717837.1930379148
2500.0 1741589.4090561245
2510.0 1943553.335771126
2520.0 1793666.1690687393
2530.0 1818115.2233884353
2540.0 1838623.4417048784
2550.0 1863184.6404025555
2560.0 2157983.8161401693
2570.0 1908878.5300865856
2580.0 1933210.6971411807
2590.0 2004384.8426627596
2600.0 1981342.7296862886
2610.0 2001665.8024614286
2620.0 2022575.4137133176
2630.0 2045118.355713033
2640.0 2069398.6843217532
2650.0 2086756.708697173
2660.0 2101718.796272039
2670.0 2358050.422734105
2680.0 2137752.019383983
2690.0 2158998.796388965
2700.0 2179325.185563268
2710.0 2195518.1253865734
2720.0 2221448.946909518
2730.0 2381686.371436584
2740.0 2402073.9888630346
2750.0 2278695.0264449613
2760.0 2308915.450005384
2770.0 2323478.5763812982
2780.0 2343018.429994921
2790.0 9333254.61728617
2800.0 5895697.009087696
2810.0 2411226.018116154
2820.0 2431610.004009233
2830.0 3783636.658619412
2840.0 2468380.0072896103
2850.0 2630353.6970898705
2860.0 2557271.027022653
2870.0 2533648.1811085986
2880.0 2556857.8724758397
2890.0 2578634.386504705
2900.0 2602286.895026278
2910.0 2619515.9343556524
2920.0 2643752.779147378
2930.0 3075149.8374181935
2940.0 2674808.2182843713
2950.0 2753292.418612152
2960.0 2719394.3791079954
2970.0 2731784.8037604247
2980.0 2765075.82463907
2990.0 2777269.9929827824
3000.0 2790785.9502076353
3010.0 2813965.9286702224
3020.0 2830698.0131032914
3030.0 2856178.243835393
3040.0 2877017.2629309422
3050.0 2894649.3913333765
3060.0 2915683.097339566
3070.0 2949148.9883499844
3080.0 2954642.1648562737
3090.0 2972903.7059285766
3100.0 3003563.6142808115
3110.0 3049370.556016297
3120.0 3085117.6045656325
3130.0 3088730.0887304978
3140.0 3118548.044480016
3150.0 3158881.9766790317
3160.0 3139635.1408877275
3170.0 3186468.488897835
3180.0 3181301.2502854527
3190.0 3289809.9867683016
3200.0 3217298.3054449162
3210.0 3756677.723228552
3220.0 3242409.9815502875
3230.0 3244391.6254521194
3240.0 3298151.148017685
3250.0 3313780.3399692783
3260.0 3441370.3557274537
3270.0 3398632.49845272
3280.0 3415348.069620144
3290.0 3457781.9336525016
3300.0 3536967.4639943126
3310.0 3441946.315220612
3320.0 3451912.0420520524
3330.0 3503497.426427632
3340.0 3823037.9873601617
3350.0 3490304.8715745155
3360.0 3519638.449115093
3370.0 3462348.093363178
3380.0 3517451.8069565324
3390.0 3520633.0299312067
3400.0 3580188.0838843537
3410.0 3545138.047341996
3420.0 4020830.0843221457
3430.0 4047764.7251621527
3440.0 3559398.793479704
3450.0 3600879.67859623
3460.0 3616274.1818614337
3470.0 3637716.93221819
3480.0 3694251.6543858894
3490.0 3684954.090199988
3500.0 3712062.4422491575
3510.0 3677902.6587147606
3520.0 3646319.5962399985
3530.0 3708859.1679708096
3540.0 3791249.9678074094
3550.0 3761671.925138022
3560.0 3725699.085745302
3570.0 3677378.667820719
3580.0 3783991.4488623207
3590.0 3686542.863408662
3600.0 3726068.8469206723
3610.0 3700222.3668881063
3620.0 3744152.221758298
3630.0 3788465.114292774
3640.0 3788590.8937359666
3650.0 3763036.0950116003
3660.0 3966475.7791959234
3670.0 3962168.0656506373
3680.0 3837669.086048698
3690.0 3878401.935653667
3700.0 3926389.1688154507
3710.0 3792004.3324613594
3720.0 3310893.0591649725
3730.0 5481046.279475022
3740.0 2886598.8000963707
3750.0 3037760.463433536
3760.0 2937088.617035225
3770.0 3343634.558984604
3780.0 3113547.4429249344
3790.0 3023208.04439715
3800.0 3267743.1233571377
3810.0 3064876.7126227943
3820.0 2994160.629293318
3830.0 2963013.0433302904
3840.0 3302036.46421053
3850.0 3082079.6640938437
3860.0 5881464.84831146
3870.0 3124389.646726231
3880.0 3681483.1093729283
3890.0 3112915.2506636064
3900.0 3632089.035399848
3910.0 3231953.413009928
3920.0 3143104.7118952167
3930.0 3023640.268386577
3940.0 3054323.2160812863
3950.0 3121431.949776708
3960.0 3910480.735795829
3970.0 3041263.432094909
3980.0 3867343.0410304437
3990.0 3340162.965295998
4000.0 3300996.0804199018
4010.0 3383871.0643731663
4020.0 3538515.7995270123
