#lam[Angstrom] flux[erg/cm2/s/A]
1010.0 6.3385470010002525
1020.0 6.563281022814532
1030.0 22.642943751320797
1040.0 8.92550824383776
1050.0 6.720911148041716
1060.0 6.781676238910572
1070.0 7.16125379111797
1080.0 21.671983583519644
1090.0 22.078877638553323
1100.0 7.078102566135194
1110.0 7.135077019313672
1120.0 7.412715259301291
1130.0 7.210443007147421
1140.0 7.830531066208741
1150.0 7.348550351841772
1160.0 7.488162344142362
1170.0 7.501957533995946
1180.0 7.534733351822004
1190.0 7.580798692447114
1200.0 11.434091660376563
1210.0 10.174363028642185
1220.0 64.72057358962985
1230.0 9.372621734549366
1240.0 38.17869602317999
1250.0 13.314145989638464
1260.0 18.52146952119728
1270.0 19.03220001044703
1280.0 19.657085212212042
1290.0 21.221644716782613
1300.0 22.859534924992914
1310.0 25.142634503289194
1320.0 26.269031629408857
1330.0 26.721156916332156
1340.0 29.83050151690537
1350.0 28.738777802437554
1360.0 29.435747192146724
1370.0 29.89238599129908
1380.0 30.556100296410623
1390.0 69.7586793716769
1400.0 77.5774607866444
1410.0 57.47604524919342
1420.0 32.63393579826629
1430.0 32.11757570681552
1440.0 32.36074057124084
1450.0 32.65922971831117
1460.0 33.0179296344129
1470.0 33.310806424374405
1480.0 33.640618660998285
1490.0 52.39773550372547
1500.0 33.589314969793136
1510.0 33.73725825584009
1520.0 34.40448409731023
1530.0 47.56999908277515
1540.0 48.412674472804625
1550.0 471.00799763709983
1560.0 52.36094397613587
1570.0 63.79433232951212
1580.0 75.8997509066136
1590.0 76.1270392953549
1600.0 90.46201090260706
1610.0 89.4999164063844
1620.0 88.88751967892696
1630.0 91.76486273762653
1640.0 382.44786941961337
1650.0 120.49257013628028
1660.0 142.79682435006754
1670.0 158.98137359303723
1680.0 332.5454830775942
1690.0 502.6252444805573
1700.0 486.9245150940763
1710.0 840.6736804311432
1720.0 856.2930712260181
1730.0 951.5684726321253
1740.0 978.5259333222302
1750.0 1318.3301655777357
1760.0 1459.3418521353751
1770.0 1257.9402111674847
1780.0 1725.3113196076363
1790.0 2946.5950760946785
1800.0 3394.520545138698
1810.0 2509.0540368439015
1820.0 2848.7095693758406
1830.0 2379.942107753453
1840.0 2095.119241940042
1850.0 2154.312125279318
1860.0 3216.0001159540225
1870.0 3768.092932690899
1880.0 4258.1585937343325
1890.0 4751.080315741546
1900.0 3868.3680229909464
1910.0 4417.419282789163
1920.0 4993.309931261014
1930.0 5534.763463697203
1940.0 5259.630707884125
1950.0 6801.649365719275
1960.0 8043.315247293719
1970.0 8913.833656731622
1980.0 7718.781386345366
1990.0 9190.210599603584
2000.0 10315.085185477063
2010.0 9425.616074938318
2020.0 9846.8041052303
2030.0 10611.413167488015
2040.0 13504.718242574798
2050.0 14733.278751656293
2060.0 14097.725847470607
2070.0 65384.66698034861
2080.0 34295.225891496484
2090.0 47229.07385402033
2100.0 66289.26086870927
2110.0 84365.57627130178
2120.0 115742.13634054063
2130.0 58015.566327355926
2140.0 101031.69902902454
2150.0 77358.10290564036
2160.0 67599.19173628943
2170.0 37724.436068344046
2180.0 84688.46878880066
2190.0 101404.7845823297
2200.0 123311.6006723228
2210.0 44814.89533356215
2220.0 55965.8096105317
2230.0 146299.16458933905
2240.0 282006.8470301975
2250.0 147173.47153977375
2260.0 91819.23346684601
2270.0 77461.25861489703
2280.0 118423.2807312755
2290.0 100154.8904323026
2300.0 90746.69974526193
2310.0 154113.9651209648
2320.0 115847.1091213028
2330.0 77138.16982815221
2340.0 80679.73134411525
2350.0 87882.27282690855
2360.0 62071.94905730101
2370.0 64447.04934275728
2380.0 59616.77684645963
2390.0 62805.66938796298
2400.0 59581.20463684083
2410.0 58225.569592930726
2420.0 179212.99019358508
2430.0 227590.89545578792
2440.0 140753.4464913319
2450.0 186269.06508518447
2460.0 181724.20068214476
2470.0 132198.50551998193
2480.0 109083.90413232628
2490.0 64610.74250948429
