#lam[Angstrom] flux[erg/cm2/s/A]
1010.0 671156.8148900853
1020.0 694952.6142202166
1030.0 2397548.323345108
1040.0 945075.6206906834
1050.0 711640.7127931165
1060.0 718074.001662292
1070.0 758263.8424611326
1080.0 2294731.7347560297
1090.0 2337812.541416624
1100.0 749440.0200495402
1110.0 755447.578280492
1120.0 784817.7912751926
1130.0 763387.4472919668
1140.0 829041.1433970329
1150.0 777991.698711532
1160.0 792784.6581073732
1170.0 794251.4431979605
1180.0 797671.9793010383
1190.0 802526.9146740714
1200.0 1210091.7447090147
1210.0 1077049.6023940176
1220.0 6852640.886657352
1230.0 991234.0224730188
1240.0 4040734.516726416
1250.0 1407401.55037814
1260.0 1958526.7266899275
1270.0 2012147.8081191522
1280.0 2077438.2087164042
1290.0 2242121.4433281575
1300.0 2414517.2188519267
1310.0 2655304.13536097
1320.0 2773553.125867687
1330.0 2820373.8798926617
1340.0 3147791.2778103165
1350.0 3029486.559037291
1360.0 3101727.2432321506
1370.0 3147663.870470648
1380.0 3214402.588959535
1390.0 7359547.48585818
1400.0 8184381.839494516
1410.0 6050444.884876806
1420.0 3413013.5256237374
1430.0 3351478.3571629035
1440.0 3368670.460739274
1450.0 3391083.908793486
1460.0 3417770.830528314
1470.0 3444261.876939907
1480.0 3460482.325591921
1490.0 5431213.9122447595
1500.0 3426257.2227492235
1510.0 3420615.169425551
1520.0 3424371.8415640173
1530.0 3578232.963869632
1540.0 3400356.911532918
1550.0 48281832.17738116
1560.0 3401731.9497196022
1570.0 3387159.4065886857
1580.0 3549029.2002170826
1590.0 3383974.512975344
1600.0 3710302.146594316
1610.0 3377412.9929484576
1620.0 3377142.9851423074
1630.0 3357166.1030134363
1640.0 30704464.340925783
1650.0 3329112.567098207
1660.0 4306282.501278818
1670.0 5864024.044427847
1680.0 3308189.5769277485
1690.0 3298433.0341274026
1700.0 3284957.7894007205
1710.0 3268974.6446572207
1720.0 3509398.6258982825
1730.0 3285755.564696736
1740.0 3347905.2845972916
1750.0 4967002.440990461
1760.0 3257266.1329714046
1770.0 3256021.2686537807
1780.0 3267010.989343452
1790.0 3496479.778618339
1800.0 3248306.6535867
1810.0 4002515.3771210876
1820.0 4071903.1789076487
1830.0 3185823.1132689663
1840.0 3165016.1208613026
1850.0 3416844.0715517276
1860.0 3289120.5903768
1870.0 3130977.6472415864
1880.0 5130219.851912228
1890.0 6419407.006361902
1900.0 3099846.81389896
1910.0 20791381.537593726
1920.0 3081032.1588479364
1930.0 3094951.3028100585
1940.0 3038659.990329419
1950.0 3040387.0124253165
1960.0 3012049.9467756734
1970.0 2995535.797504114
1980.0 2976337.0802131644
1990.0 2965666.4497411377
2000.0 2947765.060035163
2010.0 2921005.273089885
2020.0 2801946.2302930555
2030.0 2644241.9305712115
2040.0 2573537.3780942
2050.0 2460848.7656638296
2060.0 2416919.3473400353
2070.0 2527781.772896512
2080.0 2406349.3234962765
2090.0 2490785.8078585444
2100.0 2471485.7279369063
2110.0 2496355.0600831774
2120.0 2601727.944304937
2130.0 2525800.7141918344
2140.0 2712853.142410528
2150.0 2463234.7566540055
2160.0 2461514.096970515
2170.0 2362936.25208111
2180.0 2528350.197662524
2190.0 2490305.714823342
2200.0 2545682.0638943305
2210.0 2468072.382612708
2220.0 2607437.922694448
2230.0 2679278.2326484215
2240.0 2930008.052289811
2250.0 2885320.9916669866
2260.0 2728299.7720213253
2270.0 2758895.575566604
2280.0 2862435.333546579
2290.0 2890754.581921467
2300.0 3007703.7736696447
2310.0 3257453.4608579595
2320.0 3333733.2917239564
2330.0 5823484.849078292
2340.0 3736735.7178900894
2350.0 3351963.562661824
2360.0 3247351.300914781
2370.0 3310696.141054242
2380.0 3365657.8508095117
2390.0 3674840.0596979344
2400.0 3489060.8681781134
2410.0 3556530.479190074
2420.0 3762399.4621232483
2430.0 7923215.829995731
2440.0 3819571.4238432865
2450.0 3944780.900799527
2460.0 3982130.2113643032
2470.0 3980062.665254683
2480.0 4010500.0252667014
2490.0 4018775.3903880785
2500.0 4146959.213914021
2510.0 4566426.427120417
2520.0 4179277.072725152
2530.0 4280688.134292038
2540.0 4338326.554774084
2550.0 4497010.698230376
2560.0 5169166.545174874
2570.0 4710472.853417387
2580.0 4667755.222229232
2590.0 4850574.519205409
2600.0 4745828.175789651
2610.0 4750878.828868293
2620.0 4924225.841751449
2630.0 4907034.086274184
2640.0 5542646.789026667
2650.0 5667190.666240569
2660.0 5570078.556286376
2670.0 6098115.01248393
2680.0 5893957.324448513
2690.0 6065497.579696392
2700.0 6056556.057466725
2710.0 5768022.038663213
2720.0 5359647.503030255
2730.0 5828579.725695919
2740.0 5768407.749424602
2750.0 5575542.047531355
2760.0 5925412.468970924
2770.0 6030317.601084674
2780.0 5786139.869950444
2790.0 21671326.45912829
2800.0 13607948.52951713
2810.0 6025456.355618311
2820.0 6799108.462607182
2830.0 9832750.291644298
2840.0 6403113.048289189
2850.0 6291798.543571771
2860.0 6513991.730624157
2870.0 7040099.7604005
2880.0 6696935.841987784
2890.0 7517161.237078205
2900.0 9095366.611196864
2910.0 8528419.120426599
2920.0 8541741.010959104
2930.0 9333561.421578947
2940.0 7692580.547574561
2950.0 8121851.014791716
2960.0 8909789.496851664
2970.0 7582067.234749487
2980.0 8183729.909039731
2990.0 8296467.03843744
3000.0 7998556.508088367
3010.0 8361066.41693059
3020.0 7559974.194530139
3030.0 8721031.450018896
3040.0 8485021.791570414
3050.0 8689199.637648059
3060.0 8986611.718857268
3070.0 9678641.643018166
3080.0 9222792.901075922
3090.0 9273007.941696115
3100.0 8640800.15116824
